note,accord,p,lift
Blood Orange,fresh spicy,0.5151,1.4377
Blue Lotus,floral,0.8634,2.4451
Blue Lotus,woody,0.6066,0.9827
Blueberry,fruity,0.9222,2.815
Blueberry,sweet,0.8354,1.8181
Blueberry,woody,0.5208,0.8438
Boronia,floral,0.8113,2.2976
Boronia,woody,0.6887,1.1157
Bourbon Geranium,aromatic,0.8834,2.1344
Bourbon Geranium,fresh spicy,0.8773,2.4485
Bourbon Geranium,woody,0.7914,1.2822
Bourbon Geranium,warm spicy,0.5583,1.6252
Bourbon Geranium,citrus,0.5215,1.1472
Bourbon Vanilla,vanilla,0.7509,2.8664
Bourbon Vanilla,sweet,0.6975,1.5178
Bourbon Vanilla,powdery,0.6005,1.2599
Bourbon Vanilla,woody,0.5743,0.9304
Bourbon Vetiver,woody,0.92,1.4905
Bourbon Vetiver,aromatic,0.776,1.8748
Bourbon Whiskey,warm spicy,0.9595,2.7931
Bourbon Whiskey,woody,0.9189,1.4888
Bourbon Whiskey,sweet,0.6486,1.4116
Bran,aromatic,0.6667,1.6107
Bran,sweet,0.619,1.3471
Bran,woody,0.6032,0.9772
Brandy,woody,0.925,1.4986
Brandy,warm spicy,0.8438,2.4563
Brandy,sweet,0.75,1.6321
Brazilian Orange,citrus,0.869,1.9119
Brazilian Orange,woody,0.6667,1.0801
Brazilian Orange,sweet,0.6429,1.399
Brazilian Orange,fresh spicy,0.5655,1.5782
Brazilian Orange,aromatic,0.5298,1.2799
Brazilian Rosewood,woody,0.8857,1.4349
Brazilian Rosewood,aromatic,0.5834,1.4096
Brazilian Rosewood,sweet,0.5296,1.1524
Bread,sweet,0.663,1.4429
Bread,savory,0.5543,111.8274
Broom,sweet,0.77,1.6755
Broom,yellow floral,0.6056,11.4373
Broom,woody,0.5634,0.9127
Brown sugar,sweet,0.9777,2.1276
Brown sugar,vanilla,0.5609,2.141
Brown sugar,powdery,0.506,1.0616
Bubble Gum,sweet,0.8655,1.8836
Bubble Gum,fruity,0.8571,2.6163
Bubble Gum,tropical,0.5462,11.0661
Buchu or Agathosma,aromatic,0.8365,2.0211
Buchu or Agathosma,woody,0.6538,1.0593
Buchu or Agathosma,fresh spicy,0.5385,1.5028
Buchu or Agathosma,citrus,0.5,1.1
Bulgarian Rose,rose,0.6786,3.4949
Bulgarian Rose,woody,0.6409,1.0383
Bulgarian Rose,floral,0.5236,1.4827
Bulgarian Rose,powdery,0.5038,1.0569
Burnt Sugar,sweet,0.7887,1.7164
Burnt Sugar,vanilla,0.5775,2.2043
Burnt Sugar,powdery,0.5493,1.1524
Burnt Sugar,woody,0.507,0.8215
Butter,sweet,0.8191,1.7825
Butter,lactonic,0.6118,11.5058
Butter,vanilla,0.5793,2.2112
Butter,powdery,0.5407,1.1343
CO2 Extracts,woody,0.614,0.9948
CO2 Extracts,warm spicy,0.5439,1.5833
Cabreuva,woody,0.8701,1.4097
Cabreuva,aromatic,0.5974,1.4433
Cabreuva,sweet,0.5714,1.2435
Cabreuva,citrus,0.5325,1.1714
Cacao,warm spicy,0.8506,2.4761
Cacao,sweet,0.7617,1.6576
Cacao,cacao,0.7295,47.2939
Cacao,woody,0.5762,0.9336
Cacao,vanilla,0.5088,1.9422
Cacao Pod,warm spicy,0.8731,2.5417
Cacao Pod,sweet,0.7614,1.657
Cacao Pod,cacao,0.736,47.7179
Cacao Pod,woody,0.5431,0.88
Cactus,green,0.8229,3.6487
Cactus,woody,0.5833,0.9451
Cactus,citrus,0.5521,1.2146
Cactus,aromatic,0.5208,1.2584
Cactus Flower,green,0.8684,3.8505
Cactus Flower,floral,0.5526,1.565
Cactus Flower,woody,0.5526,0.8953
Cactus Flower,powdery,0.5395,1.1318
Cactus Flower,citrus,0.5132,1.1289
Cade oil,woody,0.9367,1.5175
Cade oil,aromatic,0.8235,1.9897
Cade oil,fresh spicy,0.7059,1.9701
Cade oil,amber,0.5656,1.6408
