primary_descriptor,secondary_descriptor,count
Powdery,Sweet,6
Smoky,Leathery,6
Tobacco Like,Warm,6
Woody,Animal Like,6
Woody,Oily,6
Aldehydic,Oily,5
Amber,Mushroom,5
Amber,Vanilla,5
Amber,Warm,5
Aromatic,Camphoraceous,5
Aromatic,Fresh,5
Balsamic,Woody,5
Citrus,Bergamot,5
Citrus,Rhubarb,5
Citrus,Tangerine,5
Citrus,Verbena,5
Floral,Dried Fruit,5
Floral,Lily,5
Floral,Magnolia,5
Floral,Tea,5
Fruity,Cherry,5
Fruity,Juicy,5
Fruity,Mango,5
Fruity,Sulfurous,5
Gourmand,Powdery,5
Gourmand,Roasted,5
Green,Spicy,5
Herbal,Celery,5
Herbal,Earthy,5
Herbal,Medicinal,5
Musk Like,Balsamic,5
Powdery,Dry,5
Powdery,Hay,5
Powdery,Tobacco,5
Sulfurous,Vegetable,5
Tobacco Like,Spicy,5
Woody,Grapefruit,5
Woody,Leathery,5
Woody,Milky,5
Woody,Soft,5
Acidic,Fruity,4
Acidic,Pungent,4
Aldehydic,Fruity,4
Aldehydic,Herbal,4
Aldehydic,Muguet,4
Amber,Creamy,4
Animal Like,Amber,4
Animal Like,Floral,4
Balsamic,Milky,4
Balsamic,Warm,4
Camphoraceous,Green,4
Citrus,Peppery,4
Citrus,Zesty,4
Floral,Aromatic,4
Floral,Chamomile,4
Floral,Earthy,4
Floral,Grape,4
Floral,Marine,4
Floral,Narcissus,4
Food Like,Green,4
Food Like,Sesame,4
Food Like,Toasted,4
Fruity,Almond,4
Fruity,Anisic,4
Fruity,Earthy,4
Fruity,Ethereal,4
Fruity,Light,4
Gourmand,Cocoa,4
Green,Fatty,4
Green,Orange,4
Herbal,Chamomile,4
Herbal,Cooling,4
Herbal,Hay,4
Herbal,Smoky,4
Minty,Peppermint,4
Musk Like,Soft,4
Powdery,Coumarin,4
Spicy,Camphoraceous,4
Spicy,Saffron,4
Spicy,Smoky,4
Spicy,Tobacco,4
Sulfurous,Nutty,4
Tobacco Like,Floral,4
Tobacco Like,Hay,4
Tobacco Like,Smoky,4
Acidic,Dry,3
Acidic,Sharp,3
Aldehydic,Clean,3
Aldehydic,Coriander,3
Aldehydic,Marine,3
Animal Like,Jasmin,3
Animal Like,Tobacco,3
Animal Like,Warm,3
Anisic,Floral,3
Anisic,Licorice,3
Aromatic,Fruity,3
Aromatic,Minty,3
Balsamic,Cinnamon,3
Balsamic,Green,3
Balsamic,Honey,3
Camphoraceous,Fresh,3
Camphoraceous,Spicy,3
Citrus,Dry,3
Citrus,Lavender,3
Citrus,Rose,3
Citrus,Waxy,3
Citrus,Woody,3
Earthy,Musty,3
Earthy,Nutty,3
Earthy,Woody,3
Floral,Almond,3
Floral,Dry,3
Floral,Gardenia,3
Floral,Hawthorn,3
Floral,Medicinal,3
Floral,Milky,3
Floral,Orris,3
Floral,Peach,3
Floral,Pear,3
Floral,Tuberose,3
Food Like,Buttery,3
Food Like,Cheesy,3
Food Like,Earthy,3
Food Like,Savoury,3
Food Like,Vegetable,3
Food Like,Waxy,3
Fruity,Buttery,3
Fruity,Cassis,3
Fruity,Chocolate,3
Fruity,Nutty,3
Fruity,Orange,3
Fruity,Passionfruit,3
Fruity,Powdery,3
Fruity,Tobacco,3
Gourmand,Almond,3
Gourmand,Honey,3
Gourmand,Licorice,3
Gourmand,Oily,3
Gourmand,Spicy,3
Gourmand,Waxy,3
Green,Geranium,3
Green,Honey,3
Green,Minty,3
Green,Muguet,3
Green,Ozonic,3
Green,Pineapple,3
Green,Sulfurous,3
Green,Watery,3
Herbal,Eucalyptus,3
Herbal,Ozonic,3
Herbal,Parsley,3
Herbal,Tea,3
Herbal,Ylang,3
Honey,Floral,3
Honey,Hay,3
Honey,Powdery,3
Honey,Sweet,3
Marine,Aldehydic,3
Minty,Aromatic,3
Musk Like,Amber,3
Musk Like,Pear,3
Ozonic,Fresh,3
Smoky,Roasted,3
Spicy,Anisic,3
Spicy,Medicinal,3
Spicy,Nutmeg,3
Spicy,Pungent,3
Sulfurous,Coffee,3
Sulfurous,Green,3
Tobacco Like,Coconut,3
Woody,Burnt,3
Woody,Orris,3
Woody,Rose,3
Woody,Terpenic,3
Woody,Tobacco,3
Acidic,Animal Like,2
Acidic,Buttery,2
Acidic,Fatty,2
Acidic,Gourmand,2
Acidic,Neutral,2
Acidic,Waxy,2
Aldehydic,Fatty,2
Aldehydic,Rose,2
Amber,Animal Like,2
Animal Like,Balsamic,2
Animal Like,Dry,2
Animal Like,Medicinal,2
Animal Like,Woody,2
Anisic,Green,2
Anisic,Liquorice,2
Anisic,Powdery,2
Aromatic,Dry,2
Aromatic,Floral,2
Aromatic,Grapefruit,2
