surface_form,normalized_form,feature_type,feature_name,mapping_type,evidence_level
Coral Limestone,coral limestone,NOTE,Coral Limestone,LEVEL_A_DIRECT,A
Coral Reef,coral reef,NOTE,Coral Reef,LEVEL_A_DIRECT,A
Coral Rose,coral rose,NOTE,Coral Rose,LEVEL_A_DIRECT,A
Corall Orchid,corall orchid,NOTE,Corall Orchid,LEVEL_A_DIRECT,A
Coranol,coranol,NOTE,Coranol,LEVEL_A_DIRECT,A
Coriander,coriander,NOTE,Coriander,LEVEL_A_DIRECT,A
Coriander Extract,coriander extract,NOTE,Coriander Extract,LEVEL_A_DIRECT,A
Coriander iandaldehydes,coriander iandaldehydes,NOTE,Coriander iandaldehydes,LEVEL_A_DIRECT,A
Coriander Leaf,coriander leaf,NOTE,Coriander Leaf,LEVEL_A_DIRECT,A
Cork,cork,NOTE,Cork,LEVEL_A_DIRECT,A
Corn,corn,NOTE,Corn,LEVEL_A_DIRECT,A
Corn Silk,corn silk,NOTE,Corn Silk,LEVEL_A_DIRECT,A
Cornflower or Sultan seeds,cornflower or sultan seeds,NOTE,Cornflower or Sultan seeds,LEVEL_A_DIRECT,A
Cosmofruit™,cosmofruittm,NOTE,Cosmofruit™,LEVEL_A_DIRECT,A
Cosmofruit™ (IFF),cosmofruittm (iff),NOTE,Cosmofruit™ (IFF),LEVEL_A_DIRECT,A
Cosmone,cosmone,NOTE,Cosmone,LEVEL_A_DIRECT,A
Cosmopolitan cocktail,cosmopolitan cocktail,NOTE,Cosmopolitan cocktail,LEVEL_A_DIRECT,A
Cosmos Flower,cosmos flower,NOTE,Cosmos Flower,LEVEL_A_DIRECT,A
Costus,costus,NOTE,Costus,LEVEL_A_DIRECT,A
Coton candy,coton candy,NOTE,Coton candy,LEVEL_A_DIRECT,A
Cotton Candy,cotton candy,NOTE,Cotton Candy,LEVEL_A_DIRECT,A
Cotton Flower,cotton flower,NOTE,Cotton Flower,LEVEL_A_DIRECT,A
Cottonwood,cottonwood,NOTE,Cottonwood,LEVEL_A_DIRECT,A
Cottonwood (Poplar),cottonwood (poplar),NOTE,Cottonwood (Poplar),LEVEL_A_DIRECT,A
Coumarin,coumarin,NOTE,Coumarin,LEVEL_A_DIRECT,A
Count's Fruit,count's fruit,NOTE,Count's Fruit,LEVEL_A_DIRECT,A
Cranberry,cranberry,NOTE,Cranberry,LEVEL_A_DIRECT,A
Cream,cream,NOTE,Cream,LEVEL_A_DIRECT,A
Cream Liqueur,cream liqueur,NOTE,Cream Liqueur,LEVEL_A_DIRECT,A
cream soda,cream soda,NOTE,cream soda,LEVEL_A_DIRECT,A
Creamsicle,creamsicle,NOTE,Creamsicle,LEVEL_A_DIRECT,A
Creamy Flowers,creamy flowers,NOTE,Creamy Flowers,LEVEL_A_DIRECT,A
Creamy notes,creamy notes,NOTE,Creamy notes,LEVEL_A_DIRECT,A
Credit Cards,credit cards,NOTE,Credit Cards,LEVEL_A_DIRECT,A
Creme Brulee,creme brulee,NOTE,Creme Brulee,LEVEL_A_DIRECT,A
Creosote Bush,creosote bush,NOTE,Creosote Bush,LEVEL_A_DIRECT,A
Crimson Fruits,crimson fruits,NOTE,Crimson Fruits,LEVEL_A_DIRECT,A
Crinum lily,crinum lily,NOTE,Crinum lily,LEVEL_A_DIRECT,A
Crithmum,crithmum,NOTE,Crithmum,LEVEL_A_DIRECT,A
Croissant,croissant,NOTE,Croissant,LEVEL_A_DIRECT,A
Crustaceans,crustaceans,NOTE,Crustaceans,LEVEL_A_DIRECT,A
Crystal Amber,crystal amber,NOTE,Crystal Amber,LEVEL_A_DIRECT,A
Crystalfizz,crystalfizz,NOTE,Crystalfizz,LEVEL_A_DIRECT,A
Cuban Cigar,cuban cigar,NOTE,Cuban Cigar,LEVEL_A_DIRECT,A
Cubeb or Tailed pepper,cubeb or tailed pepper,NOTE,Cubeb or Tailed pepper,LEVEL_A_DIRECT,A
Cucumber,cucumber,NOTE,Cucumber,LEVEL_A_DIRECT,A
Cucumber Flower,cucumber flower,NOTE,Cucumber Flower,LEVEL_A_DIRECT,A
Culantro,culantro,NOTE,Culantro,LEVEL_A_DIRECT,A
Cumin,cumin,NOTE,Cumin,LEVEL_A_DIRECT,A
Cupcake,cupcake,NOTE,Cupcake,LEVEL_A_DIRECT,A
"Cupuacu, Cupuassu, Copoasu","cupuacu, cupuassu, copoasu",NOTE,"Cupuacu, Cupuassu, Copoasu",LEVEL_A_DIRECT,A
Curacao,curacao,NOTE,Curacao,LEVEL_A_DIRECT,A
Curcuma (Turmeric),curcuma (turmeric),NOTE,Curcuma (Turmeric),LEVEL_A_DIRECT,A
Currant buds,currant buds,NOTE,Currant buds,LEVEL_A_DIRECT,A
Currant Leaf and Bud,currant leaf and bud,NOTE,Currant Leaf and Bud,LEVEL_A_DIRECT,A
Curry,curry,NOTE,Curry,LEVEL_A_DIRECT,A
Curry Tree,curry tree,NOTE,Curry Tree,LEVEL_A_DIRECT,A
Custard,custard,NOTE,Custard,LEVEL_A_DIRECT,A
Cyclamen,cyclamen,NOTE,Cyclamen,LEVEL_A_DIRECT,A
Cyclopidene,cyclopidene,NOTE,Cyclopidene,LEVEL_A_DIRECT,A
Cyperus esculentus,cyperus esculentus,NOTE,Cyperus esculentus,LEVEL_A_DIRECT,A
Cyperus Scariosus,cyperus scariosus,NOTE,Cyperus Scariosus,LEVEL_A_DIRECT,A
Cypress,cypress,NOTE,Cypress,LEVEL_A_DIRECT,A
Cypress Leaf,cypress leaf,NOTE,Cypress Leaf,LEVEL_A_DIRECT,A
Cypriol,cypriol,NOTE,Cypriol,LEVEL_A_DIRECT,A
Cypriol Oil,cypriol oil,NOTE,Cypriol Oil,LEVEL_A_DIRECT,A
Cypriol Oil or Nagarmotha,cypriol oil or nagarmotha,NOTE,Cypriol Oil or Nagarmotha,LEVEL_A_DIRECT,A
Czech Christmas Cookies (Linecké),czech christmas cookies (linecké),NOTE,Czech Christmas Cookies (Linecké),LEVEL_A_DIRECT,A
Dahlia,dahlia,NOTE,Dahlia,LEVEL_A_DIRECT,A
Daikon radish,daikon radish,NOTE,Daikon radish,LEVEL_A_DIRECT,A
Daim,daim,NOTE,Daim,LEVEL_A_DIRECT,A
Daiquiri,daiquiri,NOTE,Daiquiri,LEVEL_A_DIRECT,A
Daisy,daisy,NOTE,Daisy,LEVEL_A_DIRECT,A
Damascone,damascone,NOTE,Damascone,LEVEL_A_DIRECT,A
Damask Plum,damask plum,NOTE,Damask Plum,LEVEL_A_DIRECT,A
Damask Rose,damask rose,NOTE,Damask Rose,LEVEL_A_DIRECT,A
Damiana,damiana,NOTE,Damiana,LEVEL_A_DIRECT,A
Dandelion,dandelion,NOTE,Dandelion,LEVEL_A_DIRECT,A
Danish pastry,danish pastry,NOTE,Danish pastry,LEVEL_A_DIRECT,A
Daphne,daphne,NOTE,Daphne,LEVEL_A_DIRECT,A
Darjeeling Black tea,darjeeling black tea,NOTE,Darjeeling Black tea,LEVEL_A_DIRECT,A
Darjeeling Tea,darjeeling tea,NOTE,Darjeeling Tea,LEVEL_A_DIRECT,A
Dark Chocolate,dark chocolate,NOTE,Dark Chocolate,LEVEL_A_DIRECT,A
Dark Chocolate Liqueur,dark chocolate liqueur,NOTE,Dark Chocolate Liqueur,LEVEL_A_DIRECT,A
Dark Patchouli,dark patchouli,NOTE,Dark Patchouli,LEVEL_A_DIRECT,A
Dark Plum Wu Mei,dark plum wu mei,NOTE,Dark Plum Wu Mei,LEVEL_A_DIRECT,A
dark woodsy notes,dark woodsy notes,NOTE,dark woodsy notes,LEVEL_A_DIRECT,A
Dartanol®,dartanol®,NOTE,Dartanol®,LEVEL_A_DIRECT,A
Dates,dates,NOTE,Dates,LEVEL_A_DIRECT,A
Datura,datura,NOTE,Datura,LEVEL_A_DIRECT,A
Davana,davana,NOTE,Davana,LEVEL_A_DIRECT,A
day,day,DAYPART,day,ENGLISH_CONTEXT_ALIAS,A
Daylily,daylily,NOTE,Daylily,LEVEL_A_DIRECT,A
deadnettle,deadnettle,NOTE,deadnettle,LEVEL_A_DIRECT,A
Decalepis hamiltonii,decalepis hamiltonii,NOTE,Decalepis hamiltonii,LEVEL_A_DIRECT,A
Deer Musk,deer musk,NOTE,Deer Musk,LEVEL_A_DIRECT,A
Deer Tongue Grass,deer tongue grass,NOTE,Deer Tongue Grass,LEVEL_A_DIRECT,A
Delonix,delonix,NOTE,Delonix,LEVEL_A_DIRECT,A
Desert Rain Accord,desert rain accord,NOTE,Desert Rain Accord,LEVEL_A_DIRECT,A
Desert Rose,desert rose,NOTE,Desert Rose,LEVEL_A_DIRECT,A
Desert Sagebrush,desert sagebrush,NOTE,Desert Sagebrush,LEVEL_A_DIRECT,A
Dew Drop,dew drop,NOTE,Dew Drop,LEVEL_A_DIRECT,A
Dewberry,dewberry,NOTE,Dewberry,LEVEL_A_DIRECT,A
Diamond Orchid,diamond orchid,NOTE,Diamond Orchid,LEVEL_A_DIRECT,A
Dianthus,dianthus,NOTE,Dianthus,LEVEL_A_DIRECT,A
Dihydromyrcenol,dihydromyrcenol,NOTE,Dihydromyrcenol,LEVEL_A_DIRECT,A
Dill,dill,NOTE,Dill,LEVEL_A_DIRECT,A
Dirt,dirt,NOTE,Dirt,LEVEL_A_DIRECT,A
Ditax wood,ditax wood,NOTE,Ditax wood,LEVEL_A_DIRECT,A
Diving Suit,diving suit,NOTE,Diving Suit,LEVEL_A_DIRECT,A
Diviniris,diviniris,NOTE,Diviniris,LEVEL_A_DIRECT,A
Dodecanal,dodecanal,NOTE,Dodecanal,LEVEL_A_DIRECT,A
Dogwood Blossom,dogwood blossom,NOTE,Dogwood Blossom,LEVEL_A_DIRECT,A
Donut or Doughnut,donut or doughnut,NOTE,Donut or Doughnut,LEVEL_A_DIRECT,A
Dorayaki,dorayaki,NOTE,Dorayaki,LEVEL_A_DIRECT,A
Dove tree,dove tree,NOTE,Dove tree,LEVEL_A_DIRECT,A
Dragibus,dragibus,NOTE,Dragibus,LEVEL_A_DIRECT,A
Dragon Blood Resin,dragon blood resin,NOTE,Dragon Blood Resin,LEVEL_A_DIRECT,A
Dragon fruit,dragon fruit,NOTE,Dragon fruit,LEVEL_A_DIRECT,A
Dragée,dragée,NOTE,Dragée,LEVEL_A_DIRECT,A
Dreamwood,dreamwood,NOTE,Dreamwood,LEVEL_A_DIRECT,A
Dried Apple Crisp,dried apple crisp,NOTE,Dried Apple Crisp,LEVEL_A_DIRECT,A
Dried Apricot,dried apricot,NOTE,Dried Apricot,LEVEL_A_DIRECT,A
Dried Fallen Leaves,dried fallen leaves,NOTE,Dried Fallen Leaves,LEVEL_A_DIRECT,A
Dried Fruits,dried fruits,NOTE,Dried Fruits,LEVEL_A_DIRECT,A
Dried Plum,dried plum,NOTE,Dried Plum,LEVEL_A_DIRECT,A
Dried Rose,dried rose,NOTE,Dried Rose,LEVEL_A_DIRECT,A
Driftwood,driftwood,NOTE,Driftwood,LEVEL_A_DIRECT,A
Dry Wood,dry wood,NOTE,Dry Wood,LEVEL_A_DIRECT,A
Duck Poo Oolong (Ya Shi Xiang),duck poo oolong (ya shi xiang),NOTE,Duck Poo Oolong (Ya Shi Xiang),LEVEL_A_DIRECT,A
Ducke,ducke,NOTE,Ducke,LEVEL_A_DIRECT,A
Dulce de leche,dulce de leche,NOTE,Dulce de leche,LEVEL_A_DIRECT,A
Durian,durian,NOTE,Durian,LEVEL_A_DIRECT,A
Dust,dust,NOTE,Dust,LEVEL_A_DIRECT,A
Dyer’s Greenweed,dyer’s greenweed,NOTE,Dyer’s Greenweed,LEVEL_A_DIRECT,A
Earl Grey Tea,earl grey tea,NOTE,Earl Grey Tea,LEVEL_A_DIRECT,A
Earth Tincture,earth tincture,NOTE,Earth Tincture,LEVEL_A_DIRECT,A
earthy,earthy,ACCORD,earthy,LEVEL_A_DIRECT,A
Earthy Notes,earthy notes,NOTE,Earthy Notes,LEVEL_A_DIRECT,A
Eau de vie,eau de vie,NOTE,Eau de vie,LEVEL_A_DIRECT,A
Ebony,ebony,NOTE,Ebony,LEVEL_A_DIRECT,A
ebony tree,ebony tree,NOTE,ebony tree,LEVEL_A_DIRECT,A
Ebony Wood,ebony wood,NOTE,Ebony Wood,LEVEL_A_DIRECT,A
edelweiss,edelweiss,NOTE,edelweiss,LEVEL_A_DIRECT,A
Egg,egg,NOTE,Egg,LEVEL_A_DIRECT,A
Eggnog,eggnog,NOTE,Eggnog,LEVEL_A_DIRECT,A
Eglantine Rose,eglantine rose,NOTE,Eglantine Rose,LEVEL_A_DIRECT,A
Egyptian and Indian Jasmine,egyptian and indian jasmine,NOTE,Egyptian and Indian Jasmine,LEVEL_A_DIRECT,A
Egyptian balsam,egyptian balsam,NOTE,Egyptian balsam,LEVEL_A_DIRECT,A
Egyptian Jasmine,egyptian jasmine,NOTE,Egyptian Jasmine,LEVEL_A_DIRECT,A
Egyptian Musk,egyptian musk,NOTE,Egyptian Musk,LEVEL_A_DIRECT,A
Egyptian Pelargonium,egyptian pelargonium,NOTE,Egyptian Pelargonium,LEVEL_A_DIRECT,A
Egyptian Rose,egyptian rose,NOTE,Egyptian Rose,LEVEL_A_DIRECT,A
Egyptian Rosewood,egyptian rosewood,NOTE,Egyptian Rosewood,LEVEL_A_DIRECT,A
Egyptian Sage,egyptian sage,NOTE,Egyptian Sage,LEVEL_A_DIRECT,A
Egyptian Tuberose,egyptian tuberose,NOTE,Egyptian Tuberose,LEVEL_A_DIRECT,A
Elderberry,elderberry,NOTE,Elderberry,LEVEL_A_DIRECT,A
Elderflower,elderflower,NOTE,Elderflower,LEVEL_A_DIRECT,A
elemi,elemi,NOTE,elemi,LEVEL_A_DIRECT,A
Elemi resin,elemi resin,NOTE,Elemi resin,LEVEL_A_DIRECT,A
Elm,elm,NOTE,Elm,LEVEL_A_DIRECT,A
Ember,ember,NOTE,Ember,LEVEL_A_DIRECT,A
English Rose,english rose,NOTE,English Rose,LEVEL_A_DIRECT,A
Erigeron,erigeron,NOTE,Erigeron,LEVEL_A_DIRECT,A
Erigeron (Fleabane),erigeron (fleabane),NOTE,Erigeron (Fleabane),LEVEL_A_DIRECT,A
Espresso,espresso,NOTE,Espresso,LEVEL_A_DIRECT,A
Ethyl Maltol,ethyl maltol,NOTE,Ethyl Maltol,LEVEL_A_DIRECT,A
Ethyl Vanilin,ethyl vanilin,NOTE,Ethyl Vanilin,LEVEL_A_DIRECT,A
Ethylvanillin,ethylvanillin,NOTE,Ethylvanillin,LEVEL_A_DIRECT,A
Eucalyptus,eucalyptus,NOTE,Eucalyptus,LEVEL_A_DIRECT,A
Eucalyptus Blossom,eucalyptus blossom,NOTE,Eucalyptus Blossom,LEVEL_A_DIRECT,A
Eugenol,eugenol,NOTE,Eugenol,LEVEL_A_DIRECT,A
Euphorbia,euphorbia,NOTE,Euphorbia,LEVEL_A_DIRECT,A
Eustoma | Lisianthus,eustoma | lisianthus,NOTE,Eustoma | Lisianthus,LEVEL_A_DIRECT,A
Evergreen,evergreen,NOTE,Evergreen,LEVEL_A_DIRECT,A
Evernyl,evernyl,NOTE,Evernyl,LEVEL_A_DIRECT,A
Exaltolide®,exaltolide®,NOTE,Exaltolide®,LEVEL_A_DIRECT,A
Exotic floral notes,exotic floral notes,NOTE,Exotic floral notes,LEVEL_A_DIRECT,A
Exotic Fruits,exotic fruits,NOTE,Exotic Fruits,LEVEL_A_DIRECT,A
Exotic Spices,exotic spices,NOTE,Exotic Spices,LEVEL_A_DIRECT,A
Exotic Woods,exotic woods,NOTE,Exotic Woods,LEVEL_A_DIRECT,A
Fabric,fabric,NOTE,Fabric,LEVEL_A_DIRECT,A
Factor X,factor x,NOTE,Factor X,LEVEL_A_DIRECT,A
fall,fall,SEASON,autumn,ENGLISH_CONTEXT_ALIAS,A
False Cypress,false cypress,NOTE,False Cypress,LEVEL_A_DIRECT,A
False Jasmine,false jasmine,NOTE,False Jasmine,LEVEL_A_DIRECT,A
Feathers,feathers,NOTE,Feathers,LEVEL_A_DIRECT,A
Feijoa Fruit,feijoa fruit,NOTE,Feijoa Fruit,LEVEL_A_DIRECT,A
Fennel,fennel,NOTE,Fennel,LEVEL_A_DIRECT,A
Fenugreek,fenugreek,NOTE,Fenugreek,LEVEL_A_DIRECT,A
Fermented tea,fermented tea,NOTE,Fermented tea,LEVEL_A_DIRECT,A
Fern,fern,NOTE,Fern,LEVEL_A_DIRECT,A
Field scabious,field scabious,NOTE,Field scabious,LEVEL_A_DIRECT,A
Fig,fig,NOTE,Fig,LEVEL_A_DIRECT,A
Fig Blossom,fig blossom,NOTE,Fig Blossom,LEVEL_A_DIRECT,A
Fig Honey,fig honey,NOTE,Fig Honey,LEVEL_A_DIRECT,A
Fig Leaf,fig leaf,NOTE,Fig Leaf,LEVEL_A_DIRECT,A
Fig Milk,fig milk,NOTE,Fig Milk,LEVEL_A_DIRECT,A
Fig Nectar,fig nectar,NOTE,Fig Nectar,LEVEL_A_DIRECT,A
Fig Tree,fig tree,NOTE,Fig Tree,LEVEL_A_DIRECT,A
Fig Wood Bark,fig wood bark,NOTE,Fig Wood Bark,LEVEL_A_DIRECT,A
Filbertone,filbertone,NOTE,Filbertone,LEVEL_A_DIRECT,A
Finger Lime,finger lime,NOTE,Finger Lime,LEVEL_A_DIRECT,A
Fior di Latte,fior di latte,NOTE,Fior di Latte,LEVEL_A_DIRECT,A
Fir,fir,NOTE,Fir,LEVEL_A_DIRECT,A
Fir Resin,fir resin,NOTE,Fir Resin,LEVEL_A_DIRECT,A
Fire,fire,NOTE,Fire,LEVEL_A_DIRECT,A
Fire Lily,fire lily,NOTE,Fire Lily,LEVEL_A_DIRECT,A
Firwood,firwood,NOTE,Firwood,LEVEL_A_DIRECT,A
Fish,fish,NOTE,Fish,LEVEL_A_DIRECT,A
Flamingo flower,flamingo flower,NOTE,Flamingo flower,LEVEL_A_DIRECT,A
Flamingo flower (Anthurium),flamingo flower (anthurium),NOTE,Flamingo flower (Anthurium),LEVEL_A_DIRECT,A
Flax,flax,NOTE,Flax,LEVEL_A_DIRECT,A
Flint,flint,NOTE,Flint,LEVEL_A_DIRECT,A
floral,floral,ACCORD,floral,LEVEL_A_DIRECT,A
Floral bouquet,floral bouquet,NOTE,Floral bouquet,LEVEL_A_DIRECT,A
Floral Fruity Notes,floral fruity notes,NOTE,Floral Fruity Notes,LEVEL_A_DIRECT,A
Floral Notes,floral notes,NOTE,Floral Notes,LEVEL_A_DIRECT,A
Floralozone,floralozone,NOTE,Floralozone,LEVEL_A_DIRECT,A
Floratta DNA,floratta dna,NOTE,Floratta DNA,LEVEL_A_DIRECT,A
Florida Grapefruit,florida grapefruit,NOTE,Florida Grapefruit,LEVEL_A_DIRECT,A
Flour,flour,NOTE,Flour,LEVEL_A_DIRECT,A
Flouve,flouve,NOTE,Flouve,LEVEL_A_DIRECT,A
Flower Petals,flower petals,NOTE,Flower Petals,LEVEL_A_DIRECT,A
Flower Prism,flower prism,NOTE,Flower Prism,LEVEL_A_DIRECT,A
Flowering Gourd,flowering gourd,NOTE,Flowering Gourd,LEVEL_A_DIRECT,A
Flowers,flowers,NOTE,Flowers,LEVEL_A_DIRECT,A
Fo Ti (Ho Shou Wu),fo ti (ho shou wu),NOTE,Fo Ti (Ho Shou Wu),LEVEL_A_DIRECT,A
Fog,fog,NOTE,Fog,LEVEL_A_DIRECT,A
Forest Flowers Notes,forest flowers notes,NOTE,Forest Flowers Notes,LEVEL_A_DIRECT,A
Forest Foliage,forest foliage,NOTE,Forest Foliage,LEVEL_A_DIRECT,A
Forest Fruits,forest fruits,NOTE,Forest Fruits,LEVEL_A_DIRECT,A
foresty,foresty,ACCORD,foresty,LEVEL_A_DIRECT,A
Forget me not,forget me not,NOTE,Forget me not,LEVEL_A_DIRECT,A
Fougassette,fougassette,NOTE,Fougassette,LEVEL_A_DIRECT,A
Fougère Accord,fougère accord,NOTE,Fougère Accord,LEVEL_A_DIRECT,A
Fragonia,fragonia,NOTE,Fragonia,LEVEL_A_DIRECT,A
Frangipani,frangipani,NOTE,Frangipani,LEVEL_A_DIRECT,A
Frankincense,frankincense,NOTE,Frankincense,LEVEL_A_DIRECT,A
Freesia,freesia,NOTE,Freesia,LEVEL_A_DIRECT,A
Freesia Petals,freesia petals,NOTE,Freesia Petals,LEVEL_A_DIRECT,A
French Hyacinth,french hyacinth,NOTE,French Hyacinth,LEVEL_A_DIRECT,A
French labdanum,french labdanum,NOTE,French labdanum,LEVEL_A_DIRECT,A
French Narcissus,french narcissus,NOTE,French Narcissus,LEVEL_A_DIRECT,A
French orange flower,french orange flower,NOTE,French orange flower,LEVEL_A_DIRECT,A
French pastries,french pastries,NOTE,French pastries,LEVEL_A_DIRECT,A
French Rose,french rose,NOTE,French Rose,LEVEL_A_DIRECT,A
French Violet,french violet,NOTE,French Violet,LEVEL_A_DIRECT,A
fresh,fresh,ACCORD,fresh,LEVEL_A_DIRECT,A
Fresh Almond,fresh almond,NOTE,Fresh Almond,LEVEL_A_DIRECT,A
Fresh Cream,fresh cream,NOTE,Fresh Cream,LEVEL_A_DIRECT,A
Fresh Evergreen,fresh evergreen,NOTE,Fresh Evergreen,LEVEL_A_DIRECT,A
Fresh note,fresh note,NOTE,Fresh note,LEVEL_A_DIRECT,A
fresh spicy,fresh spicy,ACCORD,fresh spicy,LEVEL_A_DIRECT,A
Fringed Pink,fringed pink,NOTE,Fringed Pink,LEVEL_A_DIRECT,A
Frosted Apple,frosted apple,NOTE,Frosted Apple,LEVEL_A_DIRECT,A
Frosted Berries,frosted berries,NOTE,Frosted Berries,LEVEL_A_DIRECT,A
Frosted Mango,frosted mango,NOTE,Frosted Mango,LEVEL_A_DIRECT,A
Frosted Melon,frosted melon,NOTE,Frosted Melon,LEVEL_A_DIRECT,A
Frosted Orange,frosted orange,NOTE,Frosted Orange,LEVEL_A_DIRECT,A
Frosting,frosting,NOTE,Frosting,LEVEL_A_DIRECT,A
Frosting [Glacé],frosting [glacé],NOTE,Frosting [Glacé],LEVEL_A_DIRECT,A
Frostwood™,frostwoodtm,NOTE,Frostwood™,LEVEL_A_DIRECT,A
Frothed milk,frothed milk,NOTE,Frothed milk,LEVEL_A_DIRECT,A
Fruit Salad,fruit salad,NOTE,Fruit Salad,LEVEL_A_DIRECT,A
Fruit Tea,fruit tea,NOTE,Fruit Tea,LEVEL_A_DIRECT,A
Fruits,fruits,NOTE,Fruits,LEVEL_A_DIRECT,A
fruity,fruity,ACCORD,fruity,LEVEL_A_DIRECT,A
Fruity and Spicy Notes,fruity and spicy notes,NOTE,Fruity and Spicy Notes,LEVEL_A_DIRECT,A
Fruity Notes,fruity notes,NOTE,Fruity Notes,LEVEL_A_DIRECT,A
Fuchsia,fuchsia,NOTE,Fuchsia,LEVEL_A_DIRECT,A
Fuji Apple,fuji apple,NOTE,Fuji Apple,LEVEL_A_DIRECT,A
Fur,fur,NOTE,Fur,LEVEL_A_DIRECT,A
Gaharu Buaya,gaharu buaya,NOTE,Gaharu Buaya,LEVEL_A_DIRECT,A
Gaiac,gaiac,NOTE,Gaiac,LEVEL_A_DIRECT,A
Gaiac Wood,gaiac wood,NOTE,Gaiac Wood,LEVEL_A_DIRECT,A
Gajumaru Banyan,gajumaru banyan,NOTE,Gajumaru Banyan,LEVEL_A_DIRECT,A
Galanga,galanga,NOTE,Galanga,LEVEL_A_DIRECT,A
Galaxolide,galaxolide,NOTE,Galaxolide,LEVEL_A_DIRECT,A
Galbanum,galbanum,NOTE,Galbanum,LEVEL_A_DIRECT,A
Galbanum Leaf,galbanum leaf,NOTE,Galbanum Leaf,LEVEL_A_DIRECT,A
Garden Dill,garden dill,NOTE,Garden Dill,LEVEL_A_DIRECT,A
Gardenia,gardenia,NOTE,Gardenia,LEVEL_A_DIRECT,A
Gariguette Strawberry,gariguette strawberry,NOTE,Gariguette Strawberry,LEVEL_A_DIRECT,A
Garlic,garlic,NOTE,Garlic,LEVEL_A_DIRECT,A
gasoline,gasoline,ACCORD,gasoline,LEVEL_A_DIRECT,A
Gasoline,gasoline,NOTE,Gasoline,LEVEL_A_DIRECT,A
Gelatin,gelatin,NOTE,Gelatin,LEVEL_A_DIRECT,A
Gelato,gelato,NOTE,Gelato,LEVEL_A_DIRECT,A
Genet,genet,NOTE,Genet,LEVEL_A_DIRECT,A
Genipapo,genipapo,NOTE,Genipapo,LEVEL_A_DIRECT,A
Genmaicha,genmaicha,NOTE,Genmaicha,LEVEL_A_DIRECT,A
Gentiana,gentiana,NOTE,Gentiana,LEVEL_A_DIRECT,A
Georgian Apricot,georgian apricot,NOTE,Georgian Apricot,LEVEL_A_DIRECT,A
Georgywood,georgywood,NOTE,Georgywood,LEVEL_A_DIRECT,A
Geosmin,geosmin,NOTE,Geosmin,LEVEL_A_DIRECT,A
Geranium,geranium,NOTE,Geranium,LEVEL_A_DIRECT,A
Geranium macrorrhizum (Zdravetz),geranium macrorrhizum (zdravetz),NOTE,Geranium macrorrhizum (Zdravetz),LEVEL_A_DIRECT,A
Gerbera,gerbera,NOTE,Gerbera,LEVEL_A_DIRECT,A
Ghost Pepper,ghost pepper,NOTE,Ghost Pepper,LEVEL_A_DIRECT,A
Gianduia,gianduia,NOTE,Gianduia,LEVEL_A_DIRECT,A
Gin,gin,NOTE,Gin,LEVEL_A_DIRECT,A
Ginger,ginger,NOTE,Ginger,LEVEL_A_DIRECT,A
Ginger flower,ginger flower,NOTE,Ginger flower,LEVEL_A_DIRECT,A
Ginger Leaf,ginger leaf,NOTE,Ginger Leaf,LEVEL_A_DIRECT,A
Gingerbread,gingerbread,NOTE,Gingerbread,LEVEL_A_DIRECT,A
Gingergrass,gingergrass,NOTE,Gingergrass,LEVEL_A_DIRECT,A
Ginkgo,ginkgo,NOTE,Ginkgo,LEVEL_A_DIRECT,A
Ginseng,ginseng,NOTE,Ginseng,LEVEL_A_DIRECT,A
Glacé,glacé,NOTE,Glacé,LEVEL_A_DIRECT,A
Gladiolus,gladiolus,NOTE,Gladiolus,LEVEL_A_DIRECT,A
Glass,glass,NOTE,Glass,LEVEL_A_DIRECT,A
Goat Hair,goat hair,NOTE,Goat Hair,LEVEL_A_DIRECT,A
Goat hair tincture,goat hair tincture,NOTE,Goat hair tincture,LEVEL_A_DIRECT,A
Goat's milk,goat's milk,NOTE,Goat's milk,LEVEL_A_DIRECT,A
Goji Berries,goji berries,NOTE,Goji Berries,LEVEL_A_DIRECT,A
Gold,gold,NOTE,Gold,LEVEL_A_DIRECT,A
Golden Lily,golden lily,NOTE,Golden Lily,LEVEL_A_DIRECT,A
Goldenberry,goldenberry,NOTE,Goldenberry,LEVEL_A_DIRECT,A
Goldenrod,goldenrod,NOTE,Goldenrod,LEVEL_A_DIRECT,A
Goldwasser,goldwasser,NOTE,Goldwasser,LEVEL_A_DIRECT,A
Gooseberry,gooseberry,NOTE,Gooseberry,LEVEL_A_DIRECT,A
Gorse,gorse,NOTE,Gorse,LEVEL_A_DIRECT,A
gourmand,gourmand,ACCORD,gourmand,LEVEL_A_DIRECT,A
Gourmand Accord,gourmand accord,NOTE,Gourmand Accord,LEVEL_A_DIRECT,A
Graham Crackers,graham crackers,NOTE,Graham Crackers,LEVEL_A_DIRECT,A
Grains,grains,NOTE,Grains,LEVEL_A_DIRECT,A
Granny Smith apple,granny smith apple,NOTE,Granny Smith apple,LEVEL_A_DIRECT,A
Grape leaves,grape leaves,NOTE,Grape leaves,LEVEL_A_DIRECT,A
Grape Seed,grape seed,NOTE,Grape Seed,LEVEL_A_DIRECT,A
grapeflower,grapeflower,NOTE,grapeflower,LEVEL_A_DIRECT,A
Grapefruit,grapefruit,NOTE,Grapefruit,LEVEL_A_DIRECT,A
Grapefruit blossom,grapefruit blossom,NOTE,Grapefruit blossom,LEVEL_A_DIRECT,A
