surface_form,normalized_form,feature_type,feature_name,mapping_type,evidence_level
Bitter Orange,bitter orange,NOTE,Bitter Orange,LEVEL_A_DIRECT,A
Bitter Orange Blossom,bitter orange blossom,NOTE,Bitter Orange Blossom,LEVEL_A_DIRECT,A
Black Amber,black amber,NOTE,Black Amber,LEVEL_A_DIRECT,A
Black and Pink Pepper,black and pink pepper,NOTE,Black and Pink Pepper,LEVEL_A_DIRECT,A
Black Basil,black basil,NOTE,Black Basil,LEVEL_A_DIRECT,A
Black Cardamom,black cardamom,NOTE,Black Cardamom,LEVEL_A_DIRECT,A
Black Cherry,black cherry,NOTE,Black Cherry,LEVEL_A_DIRECT,A
Black Clover,black clover,NOTE,Black Clover,LEVEL_A_DIRECT,A
Black Currant,black currant,NOTE,Black Currant,LEVEL_A_DIRECT,A
Black Currant Blossom,black currant blossom,NOTE,Black Currant Blossom,LEVEL_A_DIRECT,A
Black currant leaf,black currant leaf,NOTE,Black currant leaf,LEVEL_A_DIRECT,A
Black Diamond,black diamond,NOTE,Black Diamond,LEVEL_A_DIRECT,A
Black Elder,black elder,NOTE,Black Elder,LEVEL_A_DIRECT,A
black fig,black fig,NOTE,black fig,LEVEL_A_DIRECT,A
Black Freesia,black freesia,NOTE,Black Freesia,LEVEL_A_DIRECT,A
Black Gardenia,black gardenia,NOTE,Black Gardenia,LEVEL_A_DIRECT,A
Black hemlock or Tsuga,black hemlock or tsuga,NOTE,Black hemlock or Tsuga,LEVEL_A_DIRECT,A
Black Iris,black iris,NOTE,Black Iris,LEVEL_A_DIRECT,A
Black Leather,black leather,NOTE,Black Leather,LEVEL_A_DIRECT,A
Black Licorice,black licorice,NOTE,Black Licorice,LEVEL_A_DIRECT,A
Black locust,black locust,NOTE,Black locust,LEVEL_A_DIRECT,A
Black locust Honey,black locust honey,NOTE,Black locust Honey,LEVEL_A_DIRECT,A
Black locust leaf,black locust leaf,NOTE,Black locust leaf,LEVEL_A_DIRECT,A
Black Musk,black musk,NOTE,Black Musk,LEVEL_A_DIRECT,A
Black Narcissus,black narcissus,NOTE,Black Narcissus,LEVEL_A_DIRECT,A
Black Orchid,black orchid,NOTE,Black Orchid,LEVEL_A_DIRECT,A
