accord,accord_frequency,eligible_perfume_count,mean_day_share,mean_night_share,corpus_day_share,corpus_night_share,day_difference_vs_corpus,night_difference_vs_corpus,day_lift,night_lift,day_bias_q25,day_bias_q75,daypart_tendency
white floral,39497,12923,0.6694175507838206,0.3305824492161857,0.6200564192418216,0.3799435807581744,0.04936113154199895,-0.049361131541988734,1.0796074841098422,0.8700829964188657,-0.08849253375985738,0.052318727513083585,Neutral
vanilla,34562,12963,0.5614522453510115,0.43854775464898765,0.6200564192418216,0.3799435807581744,-0.058604173890810185,0.05860417389081324,0.9054857395679109,1.1542444111672292,-0.08849253375985738,0.052318727513083585,Neutral
fresh,33478,11510,0.7297437007233272,0.270256299276683,0.6200564192418216,0.3799435807581744,0.10968728148150553,-0.10968728148149143,1.1768988725503824,0.7113063964323036,-0.08849253375985738,0.052318727513083585,Day leaning
green,29755,10253,0.7189598992361816,0.2810401007638269,0.6200564192418216,0.3799435807581744,0.09890347999436,-0.09890347999434751,1.1595072269637898,0.7396890354168206,-0.08849253375985738,0.052318727513083585,Day leaning
rose,25617,7929,0.625843949596521,0.37415605040347855,0.6200564192418216,0.3799435807581744,0.005787530354699366,-0.005787530354695869,1.0093338770071538,0.9847673953507863,-0.08849253375985738,0.052318727513083585,Neutral
earthy,19049,6480,0.593539148246883,0.40646085175311625,0.6200564192418216,0.3799435807581744,-0.026517270994938613,0.026517270994941833,0.9572340997173083,1.0697926543252207,-0.08849253375985738,0.052318727513083585,Neutral
animalic,18242,5398,0.5538563948013618,0.44614360519863866,0.6200564192418216,0.3799435807581744,-0.0662000244404598,0.06620002444046424,0.8932354824720525,1.1742364598142772,-0.08849253375985738,0.052318727513083585,Neutral
balsamic,18162,6096,0.5157608535540359,0.48423914644596544,0.6200564192418216,0.3799435807581744,-0.10429556568778575,0.10429556568779103,0.8317966519638424,1.2745027708578995,-0.08849253375985738,0.052318727513083585,Night leaning
patchouli,14822,4991,0.5281979012783139,0.47180209872168627,0.6200564192418216,0.3799435807581744,-0.09185851796350775,0.09185851796351185,0.851854581110815,1.2417688378369465,-0.08849253375985738,0.052318727513083585,Night leaning
soft spicy,13661,4665,0.6252836567467465,0.37471634325325276,0.6200564192418216,0.3799435807581744,0.00522723750492482,-0.005227237504921656,1.0084302610902995,0.9862420691659253,-0.08849253375985738,0.052318727513083585,Neutral
leather,10809,3987,0.4774161832608737,0.5225838167391257,0.6200564192418216,0.3799435807581744,-0.14264023598094794,0.14264023598095127,0.7699560369758573,1.3754247820066174,-0.08849253375985738,0.052318727513083585,Night leaning
aquatic,8872,3276,0.7622697940880178,0.23773020591198374,0.6200564192418216,0.3799435807581744,0.14221337484619612,-0.14221337484619068,1.2293555399685863,0.6256987035748702,-0.08849253375985738,0.052318727513083585,Day leaning
herbal,8607,2891,0.6723230208255978,0.3276769791744008,0.6200564192418216,0.3799435807581744,0.05226660158377616,-0.05226660158377361,1.0842932997092192,0.8624358872454799,-0.08849253375985738,0.052318727513083585,Neutral
lavender,8336,3020,0.6130477275991889,0.3869522724008115,0.6200564192418216,0.3799435807581744,-0.007008691642632736,0.007008691642637066,0.9886966872285546,1.0184466641827485,-0.08849253375985738,0.052318727513083585,Neutral
oud,8298,2554,0.42232855717626805,0.5776714428237331,0.6200564192418216,0.3799435807581744,-0.1977278620655536,0.19772786206555865,0.6811131117595287,1.5204137458277207,-0.08849253375985738,0.052318727513083585,Night leaning
violet,7614,2533,0.647617117404954,0.35238288259504746,0.6200564192418216,0.3799435807581744,0.027560698163132336,-0.02756069816312695,1.0444486941959772,0.927461076962717,-0.08849253375985738,0.052318727513083585,Neutral
iris,7451,2867,0.6041730360369942,0.39582696396300493,0.6200564192418216,0.3799435807581744,-0.015883383204827406,0.015883383204830515,0.974383971019526,1.0418045836519605,-0.08849253375985738,0.052318727513083585,Neutral
smoky,7407,2560,0.4681690255705183,0.5318309744294818,0.6200564192418216,0.3799435807581744,-0.15188739367130333,0.15188739367130738,0.7550426236099214,1.3997630210470124,-0.08849253375985738,0.052318727513083585,Night leaning
lactonic,7015,2589,0.6692591386740818,0.33074086132591823,0.6200564192418216,0.3799435807581744,0.04920271943226018,-0.04920271943225618,1.0793520039554194,0.8704999322950199,-0.08849253375985738,0.052318727513083585,Neutral
