accord,accord_frequency,eligible_perfume_count,mean_winter_share,corpus_winter_share,winter_lift,mean_spring_share,corpus_spring_share,spring_lift,mean_summer_share,corpus_summer_share,summer_lift,mean_autumn_share,corpus_autumn_share,autumn_lift,dominant_season_by_share,strongest_season_by_lift,second_season_by_lift,weakest_season_by_lift
plastic,39,24,0.2395361841589798,0.21015620864724194,1.139800654479134,0.25283093277013463,0.2857808718775258,0.884702083484747,0.25218853376010836,0.23873846990843414,1.0563380667423765,0.25544434931077714,0.265324449566811,0.9627621944673216,autumn,winter,summer,spring
vinyl,37,27,0.23179401839321795,0.21015620864724194,1.1029606019506004,0.2893776170428878,0.2857808718775258,1.0125856749674393,0.19296217564492035,0.23873846990843414,0.8082575703820551,0.2858661889189738,0.265324449566811,1.0774212078295113,spring,winter,autumn,summer
asphault,29,15,0.2382103573268877,0.21015620864724194,1.1334918861556742,0.28460824777913474,0.2857808718775258,0.995896771919383,0.19111776767366206,0.23873846990843414,0.8005319282935986,0.2860636272203155,0.265324449566811,1.0781653469454655,autumn,winter,autumn,summer
gasoline,25,14,0.28600292740743877,0.21015620864724194,1.36090639076721,0.22007697544881386,0.2857808718775258,0.7700899433994658,0.16074408999174045,0.23873846990843414,0.6733061917226507,0.33317600715200685,0.265324449566811,1.2557305129473575,autumn,winter,autumn,summer
rubber,21,10,0.3214481223036293,0.21015620864724194,1.529567574390327,0.1974980755214554,0.2857808718775258,0.6910822065309365,0.1267655222585247,0.23873846990843414,0.5309807100093437,0.35428827991639067,0.265324449566811,1.3353020443265926,autumn,winter,autumn,summer
milky,20,9,0.20180375276575846,0.21015620864724194,0.9602559641932659,0.2992469381035464,0.2857808718775258,1.0471202503426877,0.23129992042642136,0.23873846990843414,0.9688422670847067,0.2676493887042737,0.265324449566811,1.0087626268188197,spring,spring,autumn,winter
industrial glue,12,8,0.22381537506727023,0.21015620864724194,1.0649953028176098,0.2813159630482813,0.2857808718775258,0.9843764601881473,0.2138296293642817,0.23873846990843414,0.8956647391025586,0.2810390325201667,0.265324449566811,1.0592277981882654,spring,winter,autumn,summer
hot iron,10,6,0.24834695718286182,0.21015620864724194,1.181725530649085,0.23383057798088183,0.2857808718775258,0.8182163363302083,0.20148045100709897,0.23873846990843414,0.8439379337748745,0.31634201382915733,0.265324449566811,1.1922836901975733,autumn,autumn,winter,spring
sake,9,4,0.22707833371042574,0.21015620864724194,1.0805216518327492,0.32380524316584697,0.2857808718775258,1.1330542909975334,0.20262909547560448,0.23873846990843414,0.8487492424380576,0.24648732764812284,0.265324449566811,0.9290034448410499,spring,spring,winter,summer
spice,8,3,0.25499956079992975,0.21015620864724194,1.2133810485131071,0.2507816134583915,0.2857808718775258,0.8775311370939705,0.16883989368104965,0.23873846990843414,0.7072169547949544,0.3253789320606291,0.265324449566811,1.226343567627739,autumn,autumn,winter,summer
bacon,7,2,0.39502164502164505,0.21015620864724194,1.8796572681072168,0.10551948051948051,0.2857808718775258,0.36923213168970215,0.06926406926406926,0.23873846990843414,0.2901252960640773,0.4301948051948052,0.265324449566811,1.621391492179383,autumn,winter,autumn,summer
varnish,5,3,0.25331614195224644,0.21015620864724194,1.2053707267694893,0.23704169021292779,0.2857808718775258,0.8294526105110153,0.15404273815207134,0.23873846990843414,0.6452363467486114,0.35559942968275443,0.265324449566811,1.3402437290017308,autumn,autumn,winter,summer
Pear,4,1,0.148068669527897,0.21015620864724194,0.7045648114847651,0.3649856938483548,0.2857808718775258,1.27715228612212,0.2907725321888412,0.23873846990843414,1.2179542421477536,0.19617310443490701,0.265324449566811,0.7393706262472013,spring,spring,summer,winter
meat,4,3,0.3135306553911205,0.21015620864724194,1.4918933749770769,0.22755461592670892,0.2857808718775258,0.7962555871277126,0.159830866807611,0.23873846990843414,0.6694809884176295,0.29908386187455954,0.265324449566811,1.1272382261147313,winter,winter,autumn,summer
bbq,3,1,0.2702702702702703,0.21015620864724194,1.2860446617779107,0.13513513513513514,0.2857808718775258,0.47286277156103235,0.2702702702702703,0.23873846990843414,1.1320767464662476,0.32432432432432434,0.265324449566811,1.22236878227333,autumn,winter,autumn,spring
tennis ball,3,3,0.0371965348084751,0.21015620864724194,0.17699469860017988,0.4617875656681627,0.2857808718775258,1.6158798964895953,0.42854121003374734,0.23873846990843414,1.79502369349234,0.07247468948961487,0.265324449566811,0.27315496030592956,spring,summer,spring,winter
wet plaster,2,1,0.03896103896103896,0.21015620864724194,0.18539085384071177,0.42207792207792205,0.2857808718775258,1.4769285267588086,0.42207792207792205,0.23873846990843414,1.767951022890471,0.11688311688311688,0.265324449566811,0.4405290091959079,spring,summer,spring,winter
brown scotch tape,1,1,0.18475073313782991,0.21015620864724194,0.8791114682124075,0.36363636363636365,0.2857808718775258,1.2724307307460505,0.21407624633431085,0.23873846990843414,0.8966977396496583,0.2375366568914956,0.265324449566811,0.8952686315916838,spring,spring,summer,winter
foresty,1,1,0.08366533864541832,0.21015620864724194,0.398110239920891,0.33266932270916333,0.2857808718775258,1.1640713408269396,0.3207171314741036,0.23873846990843414,1.3433827049202065,0.26294820717131473,0.265324449566811,0.9910440127196121,spring,summer,spring,winter
