note,perfume_count,occurrence_count,strict_match_status,strict_matched_term,strict_ifra_level,material_family_candidate,alias_candidate,final_auto_status
Thyme,1578,1580,MATCH_SECONDARY_DESCRIPTOR,Thyme,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Mango,1569,1585,MATCH_SECONDARY_DESCRIPTOR,Mango,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Frankincense,1546,1568,UNMATCHED,,,,,UNMATCHED
Ylang Ylang,1534,1548,UNMATCHED,,,"Ylang ylang absolute | Ylang ylang oil | Ylang ylang oil (low para cresol methylether) | Ylang ylang oil extra | Ylang ylang oil I | Ylang ylang oil II | Ylang ylang oil III | Ylang ylang oil, rectified | Ylang ylang oil, terpene-free | Ylang-ylang extract",,CANDIDATE_ONLY
Red Berries,1527,1530,UNMATCHED,,,,,UNMATCHED
Passionfruit,1512,1518,MATCH_SECONDARY_DESCRIPTOR,Passionfruit,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Honeysuckle,1496,1505,MATCH_SECONDARY_DESCRIPTOR,Honeysuckle,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Tonka,1459,1462,MATCH_SECONDARY_DESCRIPTOR,Tonka,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Styrax,1435,1436,UNMATCHED,,,"Styrax absolute | Styrax absolute (low sytrene) | Styrax absolute, Honduras | Styrax distillate | Styrax essence pyrogenated | Styrax extract | Styrax oil | Styrax oil, Honduras | Styrax oil, Oriental | Styrax oil, pyrogenated",,CANDIDATE_ONLY
Lilac,1417,1429,UNMATCHED,,,,,UNMATCHED
Blackcurrant,1404,1412,MATCH_SECONDARY_DESCRIPTOR,Blackcurrant,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Rhubarb,1388,1392,MATCH_SECONDARY_DESCRIPTOR,Rhubarb,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Narcissus,1378,1393,MATCH_SECONDARY_DESCRIPTOR,Narcissus,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Madagascar Vanilla,1377,1386,UNMATCHED,,,,,UNMATCHED
Birch,1360,1376,UNMATCHED,,,"Birch tar oil, rectified",,CANDIDATE_ONLY
Blackberry,1342,1354,UNMATCHED,,,,,UNMATCHED
Anise,1341,1342,UNMATCHED,,,Anise seed oil,,CANDIDATE_ONLY
Civet,1330,1339,UNMATCHED,,,Civet absolute | Civet tincture,,CANDIDATE_ONLY
Amalfi Lemon,1325,1325,UNMATCHED,,,,,UNMATCHED
Green Tea,1323,1333,UNMATCHED,,,,,UNMATCHED
Juniper Berries,1316,1318,UNMATCHED,,,,,UNMATCHED
Cacao,1305,1315,UNMATCHED,,,Cacao absolute | Cacao extract | Cacao oil,,CANDIDATE_ONLY
Frangipani,1292,1296,MATCH_SECONDARY_DESCRIPTOR,Frangipani,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Hyacinth,1291,1295,MATCH_SECONDARY_DESCRIPTOR,Hyacinth,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Blood Orange,1289,1291,UNMATCHED,,,,,UNMATCHED
Citrus,1254,1257,MATCH_PRIMARY_DESCRIPTOR,Citrus,PRIMARY_DESCRIPTOR,,,STRICT_MATCH
Agarwood,1249,1275,UNMATCHED,,,"Agarwood extract | Agarwood extract, Vietnamese | Agarwood oil | Agarwood oil, Indonesia | Agarwood oil, Vietnamese",,CANDIDATE_ONLY
Palisander Rosewood,1245,1247,UNMATCHED,,,,,UNMATCHED
Cumin,1234,1236,MATCH_SECONDARY_DESCRIPTOR,Cumin,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Smoke,1224,1236,UNMATCHED,,,,,UNMATCHED
Yuzu,1222,1231,UNMATCHED,,,,,UNMATCHED
Sweet Notes,1216,1225,UNMATCHED,,,,,UNMATCHED
Haitian Vetiver,1214,1217,UNMATCHED,,,,,UNMATCHED
Cypriol Oil or Nagarmotha,1197,1198,UNMATCHED,,,,,UNMATCHED
Ambrette (Musk Mallow),1192,1194,UNMATCHED,,,,,UNMATCHED
Water Lily,1182,1185,UNMATCHED,,,,,UNMATCHED
Green Leaves,1138,1144,UNMATCHED,,,,,UNMATCHED
Ozonic notes,1107,1115,UNMATCHED,,,,,UNMATCHED
Bourbon Vanilla,1104,1113,UNMATCHED,,,,,UNMATCHED
Chocolate,1099,1120,MATCH_SECONDARY_DESCRIPTOR,Chocolate,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Oak,1095,1102,MATCH_SECONDARY_DESCRIPTOR,Oak,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Castoreum,1076,1082,UNMATCHED,,,Castoreum absolute | Castoreum concrete | Castoreum extract | Castoreum resinoid | Castoreum tincture,,CANDIDATE_ONLY
Ambrette,1062,1063,UNMATCHED,,,Ambrette tincture,,CANDIDATE_ONLY
Red Apple,1060,1060,UNMATCHED,,,,,UNMATCHED
Calabrian bergamot,1027,1030,UNMATCHED,,,,,UNMATCHED
oak moss,1021,1021,UNMATCHED,,,,,UNMATCHED
Chamomile,1017,1020,MATCH_SECONDARY_DESCRIPTOR,Chamomile,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
