note,perfume_count,occurrence_count
Syrup,133,133
Ambrox Super,132,132
Lemon Leaf,132,132
Ambrettolide,131,131
Crystal Amber,131,131
Rose Hip,131,131
White Tobacco,131,131
Mexican chocolate,130,130
Calamus,129,129
Mushroom,128,130
Cedar Needles,127,127
Datura,127,127
Bourbon Vetiver,125,125
Berries,124,126
Green Bell Pepper,124,124
Jasmine Tea,124,124
Rock rose,124,124
White Oud,122,123
Indian Patchouli,122,122
Patchouli Leaf,122,122
Pitahaya,122,122
Bubble Gum,119,121
Birch Leaf,119,120
Camellia,119,119
Amaretto,118,119
Himalayan Cedar,118,118
Paprika,118,118
Ebony Wood,117,117
Bellflower,116,117
Star Jasmine,116,116
Timur,116,116
Copal,115,118
Daisy,113,115
Spruce,113,113
Black Elder,112,113
Chinese Osmanthus,112,112
Mandarin Blossom,112,112
Petalia,112,112
Clearwood,111,111
Pink Lotus,111,111
Red Cedar,111,111
Vodka,111,111
Popcorn,110,112
Currant buds,110,110
Amber Xtreme,109,109
Paper,108,109
gunpowder,108,109
Algae,108,108
Candy apple,108,108
Tiare,107,107
Cinammon,106,107
Boronia,106,106
Cookie,106,106
OrcanoxTM,106,106
Tea Leaf,106,106
Roasted Coffee Beans,105,107
Linen,105,105
Meringue,105,105
Buchu or Agathosma,104,104
Copahu Balm,104,104
Tamarind,103,103
White Lotus,103,103
Fresh note,102,104
Snow,102,103
Aromatic Spices,102,102
Cinnamon Leaf,102,102
Coconut Nectar,102,102
Syringa,102,102
Dried Plum,101,101
Sunflower,101,101
Celery,100,100
Sweet Almond,100,100
Coca-Cola,99,104
Ash,99,99
Candied Fruits,99,99
Maple syrup,99,99
Pink Rose,99,99
Civetta,98,98
Raspberry Leaf,98,98
Lactones,97,98
Mandarin Leaf,97,97
Rhuburb,97,97
Cactus,96,97
Nectar,96,97
Fenugreek,96,96
Vanilla Pod,96,96
White Blossom,94,97
Madagascar Ylang-Ylang,93,94
Maltol,93,94
Chrysanthemum,92,94
Bread,92,92
Russian Leather,92,92
Cappuccino,91,92
Marzipan,91,91
Black Violet,90,90
Petitgrain Paraguay,90,90
Monoi Oil,89,90
Orange Oil,89,89
Water Hyacinth,89,89
Milk Chocolate,88,88
Vanilla Sugar,87,88
Ambrocenide,87,87
Gingerbread,87,87
Nutty Notes,87,87
Palm Leaf,86,87
Soap,86,87
Grapefruit blossom,86,86
Macarons,86,86
Oolong tea,85,85
Creme Brulee,83,83
Petrichor,83,83
Silk,83,83
Black locust,82,82
Camelia,82,82
Cherry Liqueur,82,82
Red Thyme,82,82
White Ginger Lily,82,82
Fig Nectar,81,82
Floral Fruity Notes,81,82
White Orchid,81,82
Apricot Blossom,81,81
Earl Grey Tea,81,81
Malt,81,81
Mace,80,80
Agave,78,79
Nashi Pear,78,78
Pelargonium,78,78
Indian Sandalwood,77,78
Airy Note,77,77
Cabreuva,77,77
Fire,77,77
Mojito,77,77
Stone,77,77
White Suede,77,77
dark woodsy notes,76,78
Blood,76,76
Cactus Flower,76,76
Condensed Milk,76,76
Pine Tree Needles,76,76
ebony tree,76,76
Lemon Tree,75,75
Mirabelle,75,75
Amaryllis,74,74
Bourbon Whiskey,74,74
Hyssop,74,74
Black Leather,73,73
Cetalox,73,73
Lavender Extract,73,73
Red Mandarin,73,73
White Wine,73,73
Pandanus,72,73
Black Currant Blossom,72,72
Tahitian Vetiver,72,72
Tropical Fruit,72,72
Burnt Sugar,71,71
Gooseberry,71,71
Red Peony,71,71
Sequoia,71,71
Cashmirwood,70,70
Plumeria,70,70
White Iris,70,70
Georgywood,69,69
Lemon Balm,69,69
Liatris,69,69
Mahonial,69,69
Marshamallow,69,69
Opium,69,69
Persimmon,69,69
Synthetic Civet,69,69
Wild Lavender,69,69
plum,69,69
Bamboo Leaf,68,69
Violet Root,67,68
Dahlia,67,67
Mugwort,67,67
Salted Caramel,67,67
Bigarade,66,67
African Geranium,66,66
Angelica Root,66,66
Baie Rose,66,66
Barley,66,66
French orange flower,66,66
Kaffir Lime,66,66
Orange Leaf,66,66
Helvetolide,65,65
Lime (Linden Blossom),65,65
Raisin,64,65
Blackcurrant Syrup,64,64
Celery Seeds,64,64
Pink Freesia,64,64
Siberian Pine,64,64
Talc,64,64
Vanillin,63,64
Black Spruce,63,63
Bran,63,63
Night blooming Cereus,63,63
Pineapple Leaf,63,63
Rhododendron,63,63
Candied Almond,62,63
Floral bouquet,62,63
Blood Grapefruit,62,62
Coffee blossom,62,62
Forest Fruits,62,62
Turkish Rose Oil,62,62
Iris Butter,61,62
Red Chilli Pepper,61,62
Cedar Leaves,61,61
Clove Leaf,61,61
Mignonette,61,61
Wool,61,61
heather,61,61
Concrete,60,60
Olive Blossom,60,60
Pitosporum,60,60
Tomato,60,60
French Rose,59,60
Lichen,59,59
Snowdrops,59,59
black fig,59,59
mulberry,58,60
Evernyl,58,58
Moroccan Cedar,58,58
Musk Mallow,58,58
Siam,58,58
CO2 Extracts,57,58
Ambrarome,57,57
Banana Leaf,57,57
Japanese Cherry Blossom,57,57
Macadamia,57,57
Water,57,57
Acai Berry,56,56
Clay,56,56
Italian Tangerine,56,56
Piña Colada,55,57
Egyptian Musk,55,55
Espresso,55,55
Italian Iris,55,55
Milk Mousse,55,55
Wild Orchid,55,55
Assam Oud,54,55
Hortensia,54,55
Apple Tree,54,54
Lemonade,54,54
Nigerian Ginger,54,54
Singapore Patchouli,54,54
Water Mint,54,54
Gasoline,53,54
Parma Violet,53,54
Black Cardamom,53,53
Malaysian Oud,53,53
Mexican Vanilla,53,53
Vetiver Root,53,53
Vine,53,53
Priprioca,52,53
Black and Pink Pepper,52,52
Dried Fallen Leaves,52,52
Flower Petals,52,52
Hemlock,52,52
Italian Orange,52,52
Light Amber,52,52
Mimosa absolute,52,52
Mirabelle Plum,52,52
Mock Orange,52,52
Choya Loban,51,52
Casablanca Lily,51,51
Citrus and Floral Notes,51,51
Gentiana,51,51
Lipstick,51,51
Madagascar Vetiver,51,51
Pink Jasmine,51,51
Red Poppy,51,51
Creamy notes,50,51
Milk Cream,50,51
Amyl Salicylate,50,50
Blackwood,50,50
Ginseng,50,50
Madagascar Cloves,50,50
Strawberry Leaf,50,50
White Rum,50,50
Exotic Spices,49,50
Ambertonic,49,49
Candied Orange,49,49
Green Lilac,49,49
Madagascar Pepper,49,49
Massoia,49,49
Palm Tree,49,49
West Indian Bay,49,49
Berry Fruits,48,48
Bitter Orange Blossom,48,48
Dulce de leche,48,48
Geosmin,48,48
Thuja,48,48
Green Mango,47,47
Ho Wood,47,47
Peat,47,47
Tonic Water,47,47
Vietnamese Oud,47,47
Caviar,46,46
Chinese Black Tea,46,46
Dewberry,46,46
Kyara Incense,46,46
Poplar (Populus) buds,46,46
Wild Jasmine,46,46
Dreamwood,45,45
Graperfuit,45,45
Pimento Seeds,45,45
Reseda,45,45
Seagrass,45,45
Water Flowers,45,45
Tequila,44,46
Coal,44,44
Dust,44,44
Grenadine,44,44
Holly,44,44
Indole,44,44
Masala Chai,44,44
Oak Tree,44,44
Tahitian Tiare Flower,44,44
Wood Resin,44,44
Arum Lily,43,43
Dark Patchouli,43,43
Frosting,43,43
Loukhoum,43,43
Oat,43,43
Oriental Woodsy notes,43,43
Raspberry Bloom,43,43
Vervain,43,43
Coconut Blossom,42,42
Coriander Leaf,42,42
Cypriol Oil,42,42
Indonesian Nutmeg,42,42
Nectarine blossom,42,42
Neroli Essence,42,42
White Leather,42,42
Asphalt,41,41
Cascalone,41,41
Cedarmoss,41,41
Dragon Blood Resin,41,41
English Rose,41,41
Kashmir wood,41,41
Lorenox,41,41
Pineapple blossom,41,41
Silver Fir,41,41
Stephanotis,41,41
Vinyl,41,41
Buttercream,40,41
Chypre Notes,40,40
Citrus Blossom,40,40
Dill,40,40
Frosting [Glacé],40,40
Fur,40,40
Transparent Flowers,40,40
Vanilla Caviar,40,40
Almond Cream,39,39
Buddha Wood,39,39
Chinese Cedar,39,39
Chinese Jasmine,39,39
Indian Spices,39,39
Rooibos Tea,39,39
Tyger Lily,39,39
Yellow Freesia,39,39
Candied Lemon,38,38
Choya Nakh,38,38
Flax,38,38
Green Pear,38,38
Green Tangerine,38,38
Paradisone,38,38
Red Algae,38,38
Hops,37,39
Turkey Red Rose,37,39
Rubber,37,38
Mitti Attar,37,37
Water Fruit,37,37
Almond Tree,36,36
Cereals,36,36
Chantilly Cream,36,36
Cilantro,36,36
Flint,36,36
Forget me not,36,36
Nettle,36,36
Roasted Nuts,36,36
Silk Tree blossom,36,36
White Pear,36,36
White Violet,36,36
Blue Lavender,35,35
Breu-Branco,35,35
Dirt,35,35
Green Almond,35,35
Pine tar,35,35
Pomarose,35,35
Primrose,35,35
Sweet Grass,35,35
Black Licorice,34,34
Champagne Rosé,34,34
Finger Lime,34,34
Fougère Accord,34,34
Galanga,34,34
Javanol,34,34
Lapsang Souchong Tea,34,34
Mango Blossom,34,34
Red Sandalwood,34,34
Seashells,34,34
Elderberry,33,35
Nougat,33,35
Pecan,33,34
Accord Eudora®,33,33
Karo Karounde,33,33
Lady of the Night Flower,33,33
Lime Blossom,33,33
Limoncello,33,33
Maraschino Cherry,33,33
Nard,33,33
Nasturtium,33,33
Pimento Leaf,33,33
Pollen,33,33
Rose Leaf,33,33
Rosebay Willowherb,33,33
TimbersilkTM,33,33
Watercress,33,33
White Currant,33,33
Boletus edulis,32,32
Candle Wax,32,32
French Violet,32,32
Gurjun Balsam,32,32
Lime peel,32,32
Magnolia Petals,32,32
Marmalade,32,32
Rice Powder,32,32
Stems Greens,32,32
Valerian,32,32
White Magnolia,32,32
boxwood,31,34
prickly pear,31,32
Conifer,31,31
Dyer’s Greenweed,31,31
French pastries,31,31
Gold,31,31
Jelly,31,31
Mangosteen,31,31
Nerium Oleander,31,31
Parsley,31,31
pink tulip,31,31
Chinese Oud,30,33
Henna,30,31
edelweiss,30,31
Blue Sage,30,30
Brazilian Redwood,30,30
Cypress Leaf,30,30
Dandelion,30,30
Gaiac,30,30
Honeycomb,30,30
Indian Saffron,30,30
Italian Jasmine,30,30
Muscenone,30,30
Panacotta,30,30
Red Amber,30,30
Reed,30,30
Tar,30,30
cream soda,30,30
Peanut,29,30
Bellini,29,29
Bergamot Leaf,29,29
Damask Plum,29,29
Gray Musk,29,29
Iris Pallida,29,29
Leatherwood,29,29
Plastic,29,29
Red Tea,29,29
Rose Oxide,29,29
Skin musk,29,29
Tansy,29,29
Yarrow,29,29
Butterscotch,28,28
Dried Apricot,28,28
Egyptian balsam,28,28
Italian Orris Root,28,28
Molasses,28,28
Pitanga,28,28
Suntan Lotion,28,28
Wild Orange,28,28
AmbrostarTM,27,27
Blue Hyacinth,27,27
Cedar Essence,27,27
Egyptian Rose,27,27
Liquidambar,27,27
Martini,27,27
Pear Leaf,27,27
Powdered Sugar,27,27
Rhubarb Leaf,27,27
Wallflower,27,27
Wintergreen,27,27
Fabric,26,27
Bergamot Blossom,26,26
Black Iris,26,26
Cacao Butter,26,26
Candied Ginger,26,26
Cassia Bourbon,26,26
Cheese,26,26
Curry Tree,26,26
Goji Berries,26,26
Hibiscus Seed,26,26
Mugane,26,26
Pea,26,26
Prosecco,26,26
Sap,26,26
Charred Wood,25,26
African Ginger,25,25
Bushman Candle,25,25
Gorse,25,25
Hot iron,25,25
Manuka,25,25
Old Books,25,25
Orangewood,25,25
Sinfonide,25,25
Transparent Woods,25,25
Tulsi,25,25
Vermouth,25,25
Yellow Narcissus,25,25
latex,25,25
Larch,24,25
Olive Leaf,24,25
Aglaia,24,24
Calabrian Mandarin,24,24
Cantaloupe,24,24
Coconut Powder,24,24
Coton candy,24,24
Fig Milk,24,24
Green Forest,24,24
Jacaranda,24,24
Magnolia Leaf,24,24
Mandora,24,24
Natural Vanilla,24,24
Roots,24,24
Steam Accord,24,24
Tiramisu,24,24
Waffle,24,24
Chinotto,23,25
Corn,23,24
AMBROX® SUPER,23,23
Apple Leaf,23,23
Bourbon Pepper,23,23
Citrus Leaves,23,23
French Narcissus,23,23
Fresh Cream,23,23
Honeydew Melon,23,23
Indian Ginger,23,23
Japanese Plum,23,23
Marron glace,23,23
Pebbles,23,23
Peppertree,23,23
Peruvian Pepper,23,23
Propolis,23,23
Red Lily,23,23
Rose Jam,23,23
Saffiano Leather,23,23
Yogurt,23,23
Choya Ral,22,23
Sake,22,23
Blue Rose,22,22
Cherry extract,22,22
Cookie Dough,22,22
Cornflower or Sultan seeds,22,22
Croissant,22,22
Hiba,22,22
Pansy,22,22
Pear Wood,22,22
Puff Pastry,22,22
Spanish Jasmine,22,22
Tangelo,22,22
White Ginger,22,22
White Heliotrope,22,22
Yellow Fruits,22,22
Ambreine,21,23
Bakhoor,21,21
Belladonna,21,21
Citrus Leaf,21,21
Dried Rose,21,21
Egyptian Pelargonium,21,21
Galaxolide,21,21
Green Anjou Pears,21,21
Green Orange,21,21
Iced Lemon,21,21
Italian Cypress,21,21
Maninka,21,21
Mocha,21,21
Pataqueira,21,21
Safraleine,21,21
Star Fruit,21,21
Tahitian Gardenia,21,21
Tangerine Blossom,21,21
Balsamic Vinegar,20,20
Basil Leaf,20,20
Boozy Notes,20,20
Calypsone,20,20
Campari,20,20
Carob tree,20,20
Cyperus esculentus,20,20
Goat hair tincture,20,20
Jasmine Leaf,20,20
Kephalis,20,20
Kulfi,20,20
Methyl Pamplemousse,20,20
NorlimbanolTM,20,20
Nutmeg Flower,20,20
Redwood,20,20
Rosebud,20,20
Storax,20,20
Strawberry Syrup,20,20
Bougainvillea,19,20
False Jasmine,19,20
Jackfruit,19,20
Amaranth,19,19
Amber Oil,19,19
Asafoetida,19,19
Banana Flower,19,19
Bluebell,19,19
Brazil nut,19,19
Canadian balsam,19,19
Chinese Cinnamon Wood,19,19
Chinese Peony,19,19
Cloudberry,19,19
Coffee CO2,19,19
Dihydromyrcenol,19,19
Guarana,19,19
Iran Galbanum,19,19
Iris Petals,19,19
Japanese Loquat,19,19
Mahonia,19,19
Mirabilis,19,19
Muhuhu,19,19
Mystikal,19,19
Nag Champa,19,19
Rice Basmati,19,19
Sea Buckthorn,19,19
Sea Daffodil,19,19
Soybean,19,19
Sycamore,19,19
White Willow,19,19
Yellow Plum,19,19
Arabian Spices,18,19
Bay essence,18,19
Aquozone,18,18
Argentinian Lemon,18,18
Azalea,18,18
Beetroot,18,18
Borneol,18,18
Bourbon Rose,18,18
Boysenberry,18,18
Cananga,18,18
Cashew,18,18
Coral Reef,18,18
Florida Grapefruit,18,18
Fruity and Spicy Notes,18,18
Grape leaves,18,18
Hazelnut cocoa spread,18,18
Hyraceum,18,18
Jade Flower,18,18
Pepperwood or Hercules Club,18,18
Rangoon Creeper,18,18
Rice Flower,18,18
Star apple,18,18
Strelitzia,18,18
Wasabi,18,18
Yeast,18,18
Avocado,17,18
Michelia,17,18
Beer,17,17
Bulgarian Light Tobacco,17,17
Calamansi,17,17
Californian Lemon,17,17
Cone Waffle,17,17
Cork,17,17
Darjeeling Tea,17,17
Eglantine Rose,17,17
Green Nard,17,17
