system,short,population,family,family_ko,fragrantica_id,brand,name,top1,family_mass_ratio
S8A,8A,korea200,CITRUS,시트러스,30796,Chanel,Chance Eau Vive,0.4975,0.7585
S8A,8A,korea200,CITRUS,시트러스,72062,Dior,Dior Homme Cologne 2022,0.4854,0.7007
S8A,8A,korea200,CITRUS,시트러스,30567,Nishane,Wulóng Chá,0.4464,0.875
S8A,8A,korea200,CITRUS,시트러스,2271,Lanvin,Rumeur 2 Rose,0.4049,1.0
S8A,8A,korea200,FRUITY,프루티,72381,Stéphane Humbert Lucas 777,God of Fire,0.4737,0.8407
S8A,8A,korea200,FRUITY,프루티,653,Salvatore Ferragamo,Incanto Charms,0.4391,0.8401
S8A,8A,korea200,FRUITY,프루티,3779,Lanvin,Jeanne Lanvin,0.3891,0.8264
S8A,8A,korea200,FRUITY,프루티,46300,Mancera,Musky Garden,0.3817,0.7139
S8A,8A,korea200,FRUITY,프루티,29165,Jimmy Choo,Jimmy Choo Blossom,0.3559,0.862
S8A,8A,korea200,FLORAL,플로럴,20542,Maison Martin Margiela,Lazy Sunday Morning,1.0,0.4719
S8A,8A,korea200,FLORAL,플로럴,44894,Gucci,Gucci Bloom,0.9072,0.8818
S8A,8A,korea200,FLORAL,플로럴,75979,Forment,Cotton Hug,0.9066,0.5401
S8A,8A,korea200,FLORAL,플로럴,6686,Byredo,Blanche,0.8763,0.5495
S8A,8A,korea200,FLORAL,플로럴,109565,Sennok,Soap Clean Soap,0.875,0.3883
S8A,8A,korea200,GREEN,그린·아로마틱,275,Calvin Klein,CK be,0.5728,0.7849
S8A,8A,korea200,GREEN,그린·아로마틱,43531,Etat Libre d'Orange,You Or Someone Like You,0.5647,0.9488
S8A,8A,korea200,GREEN,그린·아로마틱,35456,John Varvatos,Artisan Blu,0.4875,0.9281
S8A,8A,korea200,GREEN,그린·아로마틱,109563,Sennok,After Bath,0.4803,0.9249
S8A,8A,korea200,GREEN,그린·아로마틱,64092,Nishane,EGE / ΑΙΓΑΙΟ,0.4703,1.0
S8A,8A,korea200,AQUATIC,아쿠아틱,53671,Parfums Berdoues,Azur Riviera,0.538,0.9693
S8A,8A,korea200,AQUATIC,아쿠아틱,1198,Ralph Lauren,Polo Blue,0.4947,0.8333
S8A,8A,korea200,AQUATIC,아쿠아틱,47891,Maison Martin Margiela,Sailing Day,0.4698,0.9123
S8A,8A,korea200,AQUATIC,아쿠아틱,95642,Issey Miyake,Le Sel d’Issey,0.4555,1.0
S8A,8A,korea200,AQUATIC,아쿠아틱,74041,Jo Malone London,Wood Sage & Sea Salt Cologne,0.4412,0.8336
S8A,8A,korea200,WOODY,우디,109564,Sennok,Slow September,0.7011,0.7632
S8A,8A,korea200,WOODY,우디,46187,Jo Malone London,English Oak & Hazelnut,0.6855,0.9578
S8A,8A,korea200,WOODY,우디,120743,Maison Martin Margiela,Up At Dawn,0.6054,0.7129
S8A,8A,korea200,WOODY,우디,12201,Le Labo,Santal 33,0.582,0.7821
S8A,8A,korea200,WOODY,우디,74107,Mancera,Jasmin Exclusif,0.5558,0.8437
S8A,8A,korea200,AMBER,앰버·스파이시,57088,Essential Parfums,Divine Vanille,0.6025,0.9346
S8A,8A,korea200,AMBER,앰버·스파이시,115749,BMW Fragrances,BMW M 2025,0.5225,1.0
S8A,8A,korea200,AMBER,앰버·스파이시,106299,BMW Fragrances,Amberness,0.4972,0.9223
S8A,8A,korea200,AMBER,앰버·스파이시,10131,Le Labo,Another 13,0.4894,0.5562
S8A,8A,korea200,AMBER,앰버·스파이시,31861,Dior,Sauvage,0.4622,0.8982
S8A,8A,korea200,GOURMAND,구르망,50384,Ariana Grande,Cloud,0.9275,0.8675
S8A,8A,korea200,GOURMAND,구르망,76824,Sabrina Carpenter,Sweet Tooth,0.9193,0.808
S8A,8A,korea200,GOURMAND,구르망,56741,Ariana Grande,"Thank U, Next",0.7778,0.9394
S8A,8A,korea200,GOURMAND,구르망,42782,Mancera,Coco Vanille,0.6783,0.9206
S8A,8A,korea200,GOURMAND,구르망,2186,Montale,Chocolate Greedy,0.6782,0.9417
S8B,8B,korea200,CITRUS,시트러스,92647,Versace,Eros Energy,0.5181,1.0
S8B,8B,korea200,CITRUS,시트러스,75731,Mancera,Fabulous Yuzu,0.4329,0.7524
S8B,8B,korea200,CITRUS,시트러스,2271,Lanvin,Rumeur 2 Rose,0.431,0.9393
S8B,8B,korea200,CITRUS,시트러스,30567,Nishane,Wulóng Chá,0.431,0.9062
S8B,8B,korea200,CITRUS,시트러스,30796,Chanel,Chance Eau Vive,0.4049,0.9321
S8B,8B,korea200,FRUITY,프루티,95035,Youssoful,Berry Sexy,0.6667,0.419
S8B,8B,korea200,FRUITY,프루티,72381,Stéphane Humbert Lucas 777,God of Fire,0.5341,0.7456
S8B,8B,korea200,FRUITY,프루티,75969,Jimmy Choo,I Want Choo Forever,0.532,0.3973
S8B,8B,korea200,FRUITY,프루티,39761,Lush,29 High Street,0.5294,0.408
S8B,8B,korea200,FRUITY,프루티,56741,Ariana Grande,"Thank U, Next",0.5125,0.2694
S8B,8B,korea200,FLORAL,플로럴,44894,Gucci,Gucci Bloom,0.8224,0.9727
S8B,8B,korea200,FLORAL,플로럴,17798,Byredo,Inflorescence,0.7606,0.8492
