source,source_rank,ranking_basis,ranking_updated_at,source_product_id,brand_raw,product_name_raw,package_info_raw,price_raw,commerce_price_raw,review_count,review_rating,is_rank_new,rank_delta,collected_at,source_file,har_entry_index
hwahae,58,카테고리별 랭킹,2026-09-03T05:00:00,1744279,살바토레페라가모,인칸토 참 오 드 뚜왈렛,30ml,64000,,585,4.06,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,59,카테고리별 랭킹,2026-09-03T05:00:00,1734173,랑방,잔느 EDP,30ml,72000,,332,4.22,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,60,카테고리별 랭킹,2026-09-03T05:00:00,1790172,토스,베이비 토스 오 데 코롱,100ml,,,33,4.36,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,61,카테고리별 랭킹,2026-09-03T05:00:00,1869268,에스티로더,플레져 오 드 퍼퓸 스프레이,,,,51,4.47,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,62,카테고리별 랭킹,2026-09-03T05:00:00,1978596,클린,퓨어솝 EDP,30ml,57000,39900,31,4.26,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,63,카테고리별 랭킹,2026-09-03T05:00:00,1825872,베르사체,브라이트 크리스탈 EDT,30ml,,,96,4.29,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,64,카테고리별 랭킹,2026-09-03T05:00:00,2009872,구찌,블룸 오 드 퍼퓸,100ml,243000,,20,4.55,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,65,카테고리별 랭킹,2026-09-03T05:00:00,1778651,바이레도,집시 워터 오 드 퍼퓸,50ml,280000,,40,4.33,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,66,카테고리별 랭킹,2026-09-03T05:00:00,1764633,조말론,와일드 블루벨 코롱,30ml,110000,,61,4.34,false,-2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,67,카테고리별 랭킹,2026-09-03T05:00:00,1941895,입생로랑뷰티,리브르 오 드 뚜왈렛,30ml,113000,,31,4.55,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,68,카테고리별 랭킹,2026-09-03T05:00:00,2010720,랑방,레 플레르 드 EDT [워터릴리],50ml,63000,,20,4.55,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,69,카테고리별 랭킹,2026-09-03T05:00:00,1765272,입생로랑뷰티,몽 파리 오 드 빠르펭,50ml,230000,,155,4.28,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,70,카테고리별 랭킹,2026-09-03T05:00:00,1979489,산타마리아노벨라,피렌체 1221 에디션 엔젤 디 피렌체 오드코롱,50ml,120000,,11,4.45,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,71,카테고리별 랭킹,2026-09-03T05:00:00,1959643,아쿠아디파르마,피코 디 아말피 오 드 뜨왈렛,30ml,135000,,23,4.48,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,72,카테고리별 랭킹,2026-09-03T05:00:00,1873625,아리아나그란데,클라우드 EDP,30ml,57000,48450,66,4.53,false,4,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,73,카테고리별 랭킹,2026-09-03T05:00:00,1825293,바이레도,인플로레센스 오 드 퍼퓸,50ml,280000,,24,4.46,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,74,카테고리별 랭킹,2026-09-03T05:00:00,1979469,산타마리아노벨라,피렌체 1221 에디션 로사 가데니아 오드코롱,50ml,145000,,19,4.47,false,-2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,75,카테고리별 랭킹,2026-09-03T05:00:00,1876698,샤넬,가브리엘 에쌍스 오 드 빠르펭,100ml,284000,,33,4.48,false,2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,76,카테고리별 랭킹,2026-09-03T05:00:00,1764636,조말론,레드 로즈 코롱,30ml,110000,,38,4.13,false,-2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,77,카테고리별 랭킹,2026-09-03T05:00:00,2103476,조말론,라임 바질 앤 만다린 코롱,30ml,110000,,13,4.31,false,2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
