candidate_family_id,canonical_brand,normalized_fragrance_name,commercial_identity_count,has_hwahae_signal,best_hwahae_rank,commercial_identity_ids,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,family_priority_rrf
cf_1abd1e5d1062,리베르,김켄지 구름 비누향 클라우드 사이 Cloud Sai,1,False,,ci_c14f3f1be109,10.0,,,0.014285714285714285
cf_07c68e0d098e,Nishane,팬 유어 플레임즈 엑스트레 드,1,False,,ci_7e172f0085d9,,,10.0,0.014285714285714285
cf_3fbee79d8e5e,Versace,에로스,2,False,,ci_52ddc722ce8e|ci_ca648c4a8a05,115.0,230.0,136.0,0.014264602392681208
cf_ea1154c5562a,무신사 스탠다드 뷰티,무신사 스탠다드 스모크 오우드,1,False,,ci_fe5476d260a3,11.0,,,0.014084507042253521
cf_af7127fb907f,Banana Republic,미드나잇 아워,1,False,,ci_63702fd83c27,,,11.0,0.014084507042253521
cf_2502d2b069d3,무신사 스탠다드 뷰티,무신사 스탠다드 모시 헤이즈,1,False,,ci_db1f1f0f25c7,12.0,,,0.013888888888888888
cf_9eb71c08968b,Banana Republic,퓨어 화이트,1,False,,ci_17431ee1f5b7,,,12.0,0.013888888888888888
cf_acb2f6eddb5f,무신사 스탠다드 뷰티,Gen G Ruler,1,False,,ci_71460603b2e8,13.0,,,0.0136986301369863
cf_ff3c8f50325b,BMW Fragrances,더 센트 오브 베르가무드,1,False,,ci_db310e94e234,,,13.0,0.0136986301369863
cf_165ea6cf22ef,Rance 1795,르방케 포 맨 3종,1,False,,ci_372f702bf714,,,14.0,0.013513513513513514
cf_66881fcf37b8,SW19,Midnight,1,False,,ci_ae8fc927ce80,15.0,,,0.013333333333333334
cf_333d6bf4fdf0,Youssoful,세인트모리츠 니치,1,False,,ci_124bd000dfcf,16.0,,,0.013157894736842105
cf_aaf1f4126dca,Nikos,스컬프쳐 미코노스,1,False,,ci_684edcf8558a,,,16.0,0.013157894736842105
cf_d43315e25eb1,Narciso Rodriguez,타잔 포 허 퓨어 머스크,1,False,,ci_b8cd393d2c56,,17.0,,0.012987012987012988
cf_fc0f8200752d,Montale,비 마이 플럼,1,False,,ci_8834b2618482,,,17.0,0.012987012987012988
cf_bf2cdb625613,Mancera,자스민 엑스클루시프,1,False,,ci_3b1cfc988a42,,,18.0,0.01282051282051282
cf_626a4a4a592a,뉴뉴,샤를33 네놀리,1,False,,ci_5575147b0b3b,19.0,,,0.012658227848101266
cf_c5a5cdf46fa5,Rance 1795,조세핀 포 우먼 3종,1,False,,ci_77ef68d53564,,,19.0,0.012658227848101266
cf_9fca0bdd48ba,무신사 스탠다드 뷰티,무신사 스탠다드 코코모,1,False,,ci_be61dc55fcd7,20.0,,,0.0125
cf_2fbae137bb50,Montale,버블 포에버,1,False,,ci_d1e694f37a14,,,20.0,0.0125
cf_74e9c0937cdb,Nishane,하지밧 엑스트레 드 3종,1,False,,ci_723799ff0906,,,21.0,0.012345679012345678
cf_c3d225902b07,시머스,미드나잇 파크,1,False,,ci_aeb57afd9726,51.0,249.0,,0.012245254963701565
