fragrantica_id,neighbor_fragrantica_id,similarity,rank
72606,131985,0.3904,8
72606,611,0.3758,9
72606,536,0.3739,10
31861,65792,0.5151,1
31861,106298,0.4689,2
31861,52002,0.442,3
31861,35456,0.4365,4
31861,106299,0.4232,5
31861,3172,0.4174,6
31861,5585,0.4094,7
31861,98468,0.4011,8
31861,3575,0.3924,9
31861,1923,0.3863,10
79437,83,0.4304,1
79437,45029,0.4104,2
79437,31436,0.4009,3
79437,276,0.3981,4
79437,1198,0.3854,5
79437,103564,0.3807,6
79437,64092,0.3804,7
79437,1923,0.3802,8
79437,43531,0.3589,9
79437,5585,0.3431,10
52002,106299,0.5361,1
52002,115746,0.4496,2
52002,31861,0.442,3
52002,106298,0.4251,4
52002,4023,0.4201,5
52002,3575,0.4141,6
52002,50788,0.4077,7
52002,65792,0.4004,8
52002,1483,0.4001,9
52002,3172,0.3878,10
12426,93865,0.3762,1
12426,124051,0.3335,2
12426,68905,0.32,3
12426,76824,0.3006,4
12426,57088,0.2967,5
12426,89712,0.2945,6
12426,72,0.2928,7
12426,54785,0.2857,8
12426,10728,0.2853,9
12426,12310,0.2838,10
2271,92647,0.4929,1
2271,276,0.4871,2
2271,12192,0.4868,3
2271,54976,0.4835,4
2271,42944,0.4801,5
2271,90739,0.4788,6
2271,46623,0.4757,7
2271,30567,0.4718,8
2271,132011,0.4646,9
2271,98468,0.4544,10
3865,72040,0.7615,1
3865,121230,0.4022,2
3865,73092,0.3959,3
3865,115747,0.3171,4
3865,94718,0.3165,5
3865,275,0.3047,6
3865,108962,0.2992,7
3865,8441,0.292,8
3865,68919,0.2913,9
3865,39761,0.2907,10
5534,46623,0.6319,1
5534,90739,0.4963,2
5534,12192,0.4951,3
5534,84224,0.4802,4
5534,42944,0.4765,5
5534,8339,0.4723,6
5534,48478,0.4541,7
5534,30567,0.454,8
5534,132011,0.4533,9
5534,2271,0.4493,10
644,46623,0.4826,1
644,103564,0.4685,2
644,485,0.4666,3
644,30567,0.4459,4
644,8339,0.4452,5
644,276,0.4399,6
644,3172,0.4398,7
644,92647,0.4389,8
644,50786,0.4375,9
644,3575,0.4355,10
2186,57088,0.3403,1
2186,76893,0.3329,2
2186,76824,0.3242,3
2186,57384,0.3177,4
2186,10728,0.3108,5
2186,39970,0.309,6
2186,75969,0.295,7
2186,54785,0.2943,8
2186,95035,0.2897,9
2186,68905,0.2871,10
92647,30796,0.5232,1
92647,46623,0.5072,2
92647,30567,0.5044,3
92647,8339,0.4984,4
92647,2271,0.4929,5
92647,98468,0.4903,6
92647,5585,0.4688,7
92647,106298,0.452,8
92647,42670,0.4432,9
92647,52180,0.4417,10
65792,31861,0.5151,1
65792,1923,0.4937,2
65792,35456,0.4515,3
65792,45029,0.4363,4
65792,106299,0.4305,5
65792,69281,0.4277,6
65792,3172,0.4147,7
65792,815,0.4067,8
65792,52180,0.4027,9
65792,52002,0.4004,10
96192,4849,0.4881,1
96192,9405,0.4406,2
96192,27040,0.4181,3
96192,63829,0.3804,4
96192,48478,0.3783,5
96192,49827,0.3739,6
96192,93865,0.3688,7
96192,69742,0.3662,8
96192,184,0.3644,9
96192,120743,0.3639,10
39181,52180,0.4088,1
39181,5585,0.3801,2
39181,3575,0.379,3
39181,46623,0.3746,4
39181,607,0.3729,5
39181,8339,0.3727,6
39181,1483,0.371,7
39181,644,0.3665,8
39181,54976,0.3657,9
39181,52002,0.3632,10
53671,3024,0.404,1
53671,74636,0.3916,2
53671,47891,0.3833,3
53671,90834,0.3184,4
53671,95642,0.3119,5
53671,56077,0.2993,6
53671,56076,0.2882,7
53671,98469,0.2846,8
53671,16931,0.2754,9
53671,75979,0.2744,10
64022,45029,0.5025,1
64022,275,0.4403,2
64022,815,0.3801,3
64022,50788,0.3764,4
64022,1483,0.3722,5
64022,109564,0.3703,6
64022,109563,0.3648,7
64022,129391,0.3641,8
64022,94718,0.3623,9
64022,3172,0.362,10
37603,56741,0.3625,1
37603,50384,0.3624,2
37603,42782,0.3383,3
37603,76824,0.3012,4
37603,32523,0.2726,5
37603,3865,0.2723,6
37603,89712,0.2616,7
37603,57384,0.2607,8
37603,75969,0.2572,9
37603,44174,0.2562,10
74740,72381,0.4247,1
74740,121230,0.3385,2
74740,43531,0.2935,3
74740,108962,0.2869,4
74740,12310,0.2808,5
74740,64092,0.2697,6
74740,184,0.2649,7
74740,653,0.2524,8
74740,84224,0.2522,9
74740,39761,0.2508,10
45029,64022,0.5025,1
45029,275,0.4799,2
45029,1923,0.4748,3
45029,83,0.4595,4
45029,106298,0.4383,5
45029,65792,0.4363,6
45029,23032,0.4306,7
45029,30796,0.4294,8
45029,276,0.4291,9
45029,815,0.4208,10
106298,132011,0.5056,1
106298,115746,0.4888,2
106298,31861,0.4689,3
106298,46623,0.4687,4
106298,98468,0.465,5
106298,5585,0.4571,6
106298,30567,0.4536,7
106298,92647,0.452,8
106298,45029,0.4383,9
106298,52002,0.4251,10
1923,65792,0.4937,1
1923,3172,0.4774,2
1923,45029,0.4748,3
1923,4023,0.4654,4
1923,815,0.4451,5
1923,1198,0.4412,6
1923,5585,0.435,7
1923,69281,0.419,8
1923,35456,0.4164,9
1923,30796,0.4153,10
93865,64093,0.4475,1
93865,131717,0.405,2
93865,109565,0.4044,3
93865,12310,0.3955,4
93865,75979,0.3919,5
93865,20542,0.3881,6
93865,12426,0.3762,7
93865,122211,0.3722,8
93865,96192,0.3688,9
93865,10728,0.3625,10
95034,52359,0.5352,1
95034,31661,0.5032,2
95034,48478,0.4907,3
95034,42670,0.4895,4
95034,132132,0.4868,5
95034,123059,0.471,6
95034,69742,0.4681,7
95034,29165,0.4586,8
95034,38914,0.4578,9
95034,3779,0.4572,10
82586,3779,0.4799,1
82586,10314,0.4634,2
82586,95034,0.4434,3
82586,21547,0.4316,4
82586,132132,0.4279,5
82586,48478,0.4056,6
82586,6420,0.3949,7
82586,184,0.3794,8
82586,38914,0.3664,9
82586,18767,0.3616,10
116396,74739,0.3855,1
116396,56076,0.3763,2
116396,104123,0.3616,3
116396,6188,0.3552,4
116396,16931,0.3359,5
116396,44894,0.334,6
116396,131985,0.3338,7
116396,123059,0.3314,8
116396,75979,0.3237,9
116396,37602,0.3228,10
74107,12201,0.3678,1
74107,72796,0.3609,2
74107,37602,0.3399,3
74107,10728,0.3381,4
74107,16931,0.3313,5
74107,54885,0.3082,6
74107,90834,0.2966,7
74107,123059,0.2777,8
74107,74739,0.2758,9
74107,56076,0.2746,10
1929,109563,0.4276,1
1929,536,0.4101,2
1929,64167,0.4044,3
1929,1000,0.3933,4
1929,25836,0.393,5
1929,14214,0.3745,6
1929,632,0.3733,7
1929,78945,0.3701,8
1929,64093,0.3658,9
1929,8441,0.3547,10
90739,48478,0.536,1
90739,5534,0.4963,2
90739,12192,0.4942,3
90739,98469,0.485,4
90739,2271,0.4788,5
90739,56077,0.465,6
90739,49827,0.4557,7
90739,42944,0.4493,8
90739,30796,0.4385,9
90739,84224,0.4382,10
44174,48434,0.5332,1
44174,42670,0.5059,2
44174,32523,0.4787,3
44174,50789,0.4194,4
44174,73092,0.4124,5
44174,15134,0.4005,6
44174,1483,0.4002,7
44174,50786,0.3998,8
44174,84224,0.3936,9
44174,4023,0.3869,10
35456,5585,0.519,1
35456,109563,0.4967,2
35456,32134,0.4868,3
35456,3172,0.4824,4
35456,50786,0.4558,5
35456,50788,0.4543,6
35456,65792,0.4515,7
35456,103564,0.4512,8
35456,31861,0.4365,9
35456,275,0.4333,10
30567,46623,0.5219,1
30567,92647,0.5044,2
30567,84224,0.473,3
30567,2271,0.4718,4
30567,42670,0.471,5
30567,98468,0.4612,6
30567,5585,0.4586,7
30567,5534,0.454,8
30567,106298,0.4536,9
30567,30796,0.4514,10
8339,30796,0.5156,1
8339,92647,0.4984,2
8339,12192,0.4943,3
8339,46623,0.4879,4
8339,5534,0.4723,5
8339,42670,0.4559,6
8339,276,0.4504,7
8339,644,0.4452,8
8339,50789,0.4413,9
8339,54976,0.438,10
54976,12192,0.492,1
54976,2271,0.4835,2
54976,30796,0.4779,3
54976,132011,0.4699,4
54976,46623,0.4541,5
54976,50789,0.4518,6
54976,99134,0.4454,7
54976,72062,0.4442,8
54976,8339,0.438,9
54976,98468,0.4352,10
104985,485,0.7501,1
104985,30796,0.4616,2
104985,4023,0.45,3
104985,1483,0.439,4
104985,276,0.4351,5
104985,84224,0.4343,6
104985,644,0.4336,7
104985,42670,0.4298,8
104985,48478,0.4246,9
104985,8339,0.4217,10
87956,536,0.4694,1
87956,75642,0.4649,2
87956,17798,0.4491,3
87956,1924,0.4363,4
87956,131985,0.4153,5
87956,16931,0.4008,6
87956,90834,0.3984,7
87956,75979,0.3948,8
87956,56076,0.3841,9
87956,653,0.3722,10
95642,47891,0.4192,1
95642,74636,0.4058,2
95642,890,0.3383,3
95642,32523,0.3278,4
95642,53671,0.3119,5
95642,74041,0.3059,6
95642,109564,0.2966,7
95642,50788,0.2863,8
95642,94718,0.2808,9
95642,114281,0.2799,10
50790,93865,0.3536,1
50790,131717,0.3502,2
50790,64022,0.344,3
50790,275,0.3356,4
50790,124051,0.334,5
50790,109565,0.3256,6
50790,6188,0.3239,7
50790,45029,0.3184,8
50790,10131,0.318,9
50790,129391,0.3101,10
50786,103564,0.4884,1
50786,4023,0.4682,2
50786,3172,0.4578,3
50786,35456,0.4558,4
50786,32134,0.4502,5
50786,52180,0.4375,6
50786,644,0.4375,7
50786,5585,0.4294,8
50786,3575,0.4224,9
50786,1483,0.4153,10
121230,3865,0.4022,1
121230,72040,0.3973,2
121230,95035,0.3862,3
121230,68367,0.3588,4
121230,39761,0.352,5
121230,74740,0.3385,6
121230,38914,0.3372,7
121230,108962,0.3267,8
121230,64092,0.3223,9
121230,43531,0.3161,10
3024,74636,0.4875,1
3024,607,0.4314,2
