fragrantica_id,accord_name,strength,rank
1924,ozonic,52,5
1924,woody,47,6
1924,fresh,44,7
1924,aquatic,42,8
16931,white floral,100,1
16931,citrus,37,2
16931,tuberose,28,3
16931,musky,24,4
16931,woody,23,5
16931,floral,21,6
16931,powdery,21,7
16931,animalic,20,8
115747,woody,100,1
115747,fruity,28,2
115747,citrus,24,3
115747,sweet,22,4
115747,aromatic,16,5
115747,fresh spicy,11,6
115747,conifer,9,7
115747,soft spicy,9,8
115746,aromatic,100,1
115746,citrus,94,2
115746,woody,43,3
115746,soft spicy,39,4
115746,earthy,34,5
115746,fresh spicy,30,6
115746,white floral,26,7
115746,fresh,14,8
95035,fruity,100,1
95035,sweet,80,2
95035,vanilla,72,3
95035,fresh,33,4
95035,green,26,5
95035,lactonic,23,6
95035,rose,13,7
95035,powdery,11,8
50225,white floral,100,1
50225,citrus,95,2
50225,woody,91,3
50225,floral,59,4
50225,fresh,38,5
50225,aromatic,36,6
50225,green,33,7
50225,tropical,26,8
37602,white floral,100,1
37602,vanilla,67,2
37602,powdery,58,3
37602,woody,47,4
37602,tuberose,46,5
37602,fruity,34,6
37602,sweet,28,7
37602,animalic,22,8
75969,vanilla,100,1
75969,sweet,86,2
75969,almond,70,3
75969,cherry,65,4
75969,amber,54,5
75969,nutty,52,6
75969,fruity,43,7
75969,rose,41,8
64093,powdery,100,1
64093,floral,41,2
64093,woody,36,3
64093,warm spicy,35,4
64093,musky,31,5
64093,rose,29,6
64093,iris,28,7
64093,citrus,21,8
109564,woody,100,1
109564,musky,36,2
109564,aromatic,27,3
109564,earthy,22,4
109564,powdery,18,5
109564,amber,12,6
109564,green,7,7
109564,fresh spicy,6,8
95156,sweet,100,1
95156,fruity,92,2
95156,white floral,60,3
95156,woody,59,4
95156,patchouli,39,5
95156,lactonic,31,6
95156,warm spicy,31,7
95156,earthy,30,8
31247,woody,100,1
31247,aromatic,69,2
31247,warm spicy,68,3
31247,musky,57,4
31247,powdery,43,5
31247,fresh spicy,34,6
31247,earthy,30,7
31247,amber,20,8
1000,floral,100,1
1000,powdery,59,2
1000,fruity,49,3
1000,sweet,37,4
1000,woody,31,5
1000,fresh,30,6
1000,rose,26,7
1000,green,25,8
103276,iris,100,1
103276,powdery,81,2
103276,woody,73,3
