fragrantica_id,accord_name,strength,rank
64167,warm spicy,28,5
64167,powdery,27,6
64167,fresh spicy,27,7
64167,earthy,24,8
131985,white floral,100,1
131985,green,55,2
131985,musky,50,3
131985,rose,50,4
131985,floral,25,5
131985,powdery,25,6
131985,animalic,20,7
131985,soft spicy,18,8
10314,floral,100,1
10314,fruity,83,2
10314,rose,58,3
10314,sweet,57,4
10314,aquatic,47,5
10314,musky,41,6
10314,fresh,34,7
10314,patchouli,33,8
653,white floral,100,1
653,fruity,97,2
653,tropical,76,3
653,sweet,57,4
653,fresh,47,5
653,rose,39,6
653,musky,28,7
653,woody,25,8
3779,fruity,100,1
3779,sweet,58,2
3779,rose,41,3
3779,floral,41,4
3779,fresh,28,5
3779,citrus,17,6
3779,musky,16,7
3779,powdery,10,8
536,floral,100,1
536,white floral,93,2
536,fresh,73,3
536,green,62,4
536,rose,42,5
536,soft spicy,26,6
536,woody,21,7
536,powdery,21,8
68416,white floral,100,1
68416,aldehydic,82,2
68416,citrus,78,3
68416,fresh,65,4
68416,musky,65,5
68416,powdery,48,6
68416,green,45,7
68416,lavender,42,8
632,floral,100,1
632,citrus,43,2
632,fresh,43,3
632,woody,30,4
632,rose,23,5
632,fresh spicy,22,6
632,aquatic,21,7
632,sweet,16,8
44894,white floral,100,1
44894,tuberose,56,2
44894,floral,20,3
44894,animalic,20,4
44894,green,11,5
44894,fruity,7,6
44894,fresh,6,7
3575,woody,100,1
3575,aromatic,86,2
3575,fresh spicy,63,3
3575,citrus,59,4
3575,powdery,44,5
3575,vanilla,40,6
3575,amber,37,7
3575,balsamic,35,8
12310,powdery,100,1
12310,musky,98,2
12310,green,95,3
12310,aquatic,82,4
12310,sweet,54,5
12310,fruity,49,6
12310,warm spicy,21,7
12310,animalic,15,8
38914,fruity,100,1
38914,sweet,79,2
38914,fresh,32,3
38914,white floral,31,4
38914,patchouli,30,5
38914,citrus,30,6
38914,woody,27,7
38914,floral,27,8
73661,fruity,100,1
73661,powdery,69,2
73661,ozonic,64,3
73661,aquatic,60,4
73661,sweet,59,5
73661,white floral,58,6
73661,fresh,57,7
73661,musky,52,8
50384,sweet,100,1
50384,lactonic,49,2
50384,vanilla,43,3
50384,coconut,34,4
50384,musky,24,5
50384,lavender,19,6
50384,nutty,17,7
50384,powdery,16,8
17798,white floral,100,1
17798,floral,83,2
17798,fresh,46,3
17798,green,30,4
17798,citrus,15,5
17798,soapy,14,6
17798,rose,14,7
17798,soft spicy,3,8
56076,white floral,100,1
56076,citrus,42,2
56076,fruity,35,3
56076,sweet,35,4
56076,woody,27,5
56076,tuberose,27,6
56076,yellow floral,25,7
56076,animalic,24,8
5484,rose,100,1
5484,floral,30,2
5484,citrus,29,3
5484,beeswax,24,4
5484,green,21,5
5484,ozonic,19,6
5484,honey,18,7
5484,aromatic,18,8
5585,citrus,100,1
5585,aromatic,71,2
5585,fresh spicy,69,3
5585,green,45,4
5585,woody,30,5
5585,herbal,22,6
5585,earthy,19,7
5585,conifer,14,8
109563,aromatic,100,1
109563,woody,91,2
109563,fresh spicy,84,3
109563,green,72,4
109563,lavender,47,5
109563,powdery,37,6
109563,rose,35,7
109563,warm spicy,27,8
42944,citrus,100,1
42944,white floral,72,2
42944,aromatic,34,3
42944,floral,33,4
42944,green,29,5
42944,fruity,21,6
42944,fresh spicy,21,7
42944,musky,20,8
75642,white floral,100,1
75642,floral,62,2
75642,green,51,3
75642,citrus,31,4
75642,fruity,22,5
75642,rose,17,6
75642,fresh,13,7
75642,yellow floral,12,8
11784,fruity,100,1
11784,sweet,88,2
11784,aromatic,74,3
11784,lavender,61,4
11784,fresh spicy,57,5
11784,citrus,53,6
11784,woody,52,7
11784,vanilla,29,8
25836,floral,100,1
25836,sweet,58,2
25836,citrus,53,3
25836,rose,49,4
25836,fruity,47,5
25836,fresh spicy,37,6
25836,aromatic,30,7
25836,green,23,8
275,green,100,1
275,aromatic,73,2
275,woody,67,3
275,powdery,60,4
275,fresh spicy,59,5
275,lavender,59,6
275,musky,51,7
275,citrus,47,8
108962,fresh spicy,100,1
108962,coconut,90,2
108962,aromatic,87,3
108962,sweet,77,4
108962,green,71,5
108962,woody,56,6
108962,citrus,48,7
108962,fruity,34,8
23032,powdery,100,1
23032,citrus,89,2
23032,green,54,3
23032,aromatic,51,4
23032,floral,44,5
23032,fresh spicy,42,6
23032,musky,42,7
23032,fruity,35,8
10464,warm spicy,100,1
10464,amber,77,2
10464,rose,72,3
10464,woody,63,4
10464,patchouli,49,5
10464,balsamic,47,6
10464,fruity,46,7
10464,smoky,38,8
18767,floral,100,1
18767,rose,73,2
18767,fresh,69,3
18767,leather,35,4
18767,fruity,31,5
18767,musky,25,6
18767,white floral,19,7
18767,powdery,15,8
72062,citrus,100,1
72062,musky,44,2
72062,fresh spicy,38,3
72062,white floral,34,4
72062,powdery,29,5
72062,aromatic,23,6
72062,fresh,15,7
72062,floral,11,8
72606,white floral,100,1
72606,floral,89,2
72606,rose,73,3
72606,patchouli,49,4
72606,musky,47,5
72606,aquatic,36,6
72606,citrus,36,7
72606,woody,29,8
31861,fresh spicy,100,1
31861,amber,59,2
31861,citrus,56,3
31861,aromatic,48,4
31861,musky,39,5
31861,woody,35,6
31861,lavender,24,7
31861,herbal,22,8
79437,green,100,1
79437,citrus,90,2
79437,ozonic,67,3
79437,fresh spicy,57,4
79437,aquatic,39,5
79437,fresh,36,6
79437,powdery,30,7
79437,beeswax,29,8
52002,woody,100,1
52002,citrus,96,2
52002,aromatic,82,3
52002,amber,70,4
52002,musky,55,5
52002,fresh spicy,48,6
52002,soft spicy,47,7
52002,oud,46,8
12426,caramel,100,1
12426,powdery,73,2
12426,amber,51,3
12426,sweet,50,4
12426,vanilla,49,5
12426,musky,39,6
12426,warm spicy,25,7
12426,balsamic,25,8
2271,citrus,100,1
2271,rose,33,2
2271,floral,26,3
2271,white floral,21,4
2271,aromatic,18,5
2271,fresh spicy,18,6
2271,green,16,7
2271,sweet,15,8
3865,green,100,1
3865,woody,75,2
3865,sweet,45,3
3865,fresh,40,4
