condition,seed,family,family_ko,signal,contributors,area_share,largest_blob_share,pieces,weighted_coverage,spread,has_territory
0.30 (T1),4,GOURMAND,구르망,10.68,23,0.0519,0.7581,3,0.7664,0.299,True
0.30 (T1),4,MUSK,머스크·파우더리,8.57,23,0.0901,0.774,4,0.838,0.84,True
0.28,42,CITRUS,시트러스,8.83,27,0.1044,0.9755,2,0.7734,0.277,True
0.28,42,FRUITY,프루티,2.93,9,0.052,0.6842,2,0.895,0.187,True
0.28,42,FLORAL,플로럴,29.91,70,0.2803,0.8711,3,0.7818,0.527,True
0.28,42,GREEN,그린·아로마틱,11.08,32,0.1754,0.6785,2,0.7815,0.474,True
0.28,42,AQUATIC,아쿠아틱,4.41,12,0.0484,0.8943,3,0.8573,0.5,True
0.28,42,WOODY,우디,11.21,29,0.1208,0.923,2,0.6808,0.587,True
0.28,42,AMBER,앰버·스파이시,5.84,16,0.0761,1.0,1,0.8008,0.359,True
0.28,42,GOURMAND,구르망,10.97,24,0.0708,0.8015,2,0.7126,0.373,True
0.28,42,MUSK,머스크·파우더리,9.43,26,0.0717,0.7939,3,0.7922,0.691,True
0.28,1,CITRUS,시트러스,8.83,27,0.0859,0.993,1,0.7276,0.255,True
0.28,1,FRUITY,프루티,2.93,9,0.0403,1.0,1,0.895,0.165,True
0.28,1,FLORAL,플로럴,29.91,70,0.3032,0.894,2,0.7687,0.558,True
0.28,1,GREEN,그린·아로마틱,11.08,32,0.1698,0.7717,2,0.7028,0.466,True
0.28,1,AQUATIC,아쿠아틱,4.41,12,0.0424,0.8723,3,0.9392,0.547,True
0.28,1,WOODY,우디,11.21,29,0.1635,0.9375,2,0.7084,0.521,True
0.28,1,AMBER,앰버·스파이시,5.84,16,0.0727,0.9917,1,0.7095,0.3,True
0.28,1,GOURMAND,구르망,10.97,24,0.0598,0.8693,3,0.7459,0.302,True
0.28,1,MUSK,머스크·파우더리,9.43,26,0.0625,0.9423,1,0.7145,0.687,True
0.28,2,CITRUS,시트러스,8.83,27,0.097,0.9977,1,0.8105,0.273,True
0.28,2,FRUITY,프루티,2.93,9,0.0353,0.6894,2,0.895,0.159,True
0.28,2,FLORAL,플로럴,29.91,70,0.2905,0.8784,4,0.7898,0.529,True
0.28,2,GREEN,그린·아로마틱,11.08,32,0.1591,0.7283,2,0.6916,0.466,True
